respondentType,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0,0.6193390143225489,0.31527972749204264,0.274110347085696,0.673333207766215,0.6713441809018453,0.7894190874847342,0.6131158053424378,0.7206071555498791,0.7840893374062655,0.7268078464458293
1,0.5643647121888368,0.275532398356151,0.23810927584853575,0.6438459578541017,0.6925926778104997,0.7440103361664709,0.6116769715135167,0.7235428698592837,0.7242883671267806,0.7008796361665129
2,0.5701968344592906,0.27597612506116037,0.23883642850147127,0.6431459536155065,0.6785995634272695,0.7317607254280952,0.6056354869434509,0.7075040617269446,0.7217601206345358,0.6916650986832567
3,0.5623588120095029,0.27534218103417357,0.2399883056099953,0.6442777488257859,0.6867755585974389,0.7324215868232599,0.6083952031593283,0.7059719461267324,0.7177679515993622,0.6911391719271708
4,0.5618920856356573,0.2647310482384367,0.23757698492709708,0.6322031557559967,0.7115104615688324,0.6136507323450004,0.5935457133720572,0.7426270827455919,0.6306989776129285,0.6451306265188945
