issueArea,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
1.0,0.5734097287973406,0.2766558064501354,0.23744374854695594,0.6446912027322329,0.6921843409538269,0.721675085136706,0.6134051038754654,0.7221789996016134,0.7055939219451289,0.6907132776397283
2.0,0.5604629057712511,0.2731412568040969,0.2345340807532058,0.6423404686980777,0.6852656099531386,0.7675136478675828,0.5982030912496894,0.722233820568315,0.7458724758083335,0.7084557588734802
3.0,0.5491048071588099,0.27456533585737125,0.24135666373448608,0.6331182102362315,0.7155340433120727,0.7566463849370632,0.5731122305555799,0.7377800816304471,0.7442584080183767,0.7029492762853666
4.0,0.5726717741774123,0.27774605230020155,0.23290266301652168,0.6353031069040298,0.7100625246763229,0.76873418120183,0.6067574916010259,0.7078146567604324,0.7599580814868755,0.7108161027625409
5.0,0.5214375887245668,0.2492462632920208,0.22173847991973233,0.6319427251815796,0.7036806404590606,0.837430847317387,0.5768639356983443,0.7494382889956681,0.8113451431295114,0.7437695537852278
6.0,0.5341351485623549,0.2613100367835284,0.24493233497223243,0.655176215701633,0.6529354055722555,0.7245333902791675,0.6444884291466471,0.6310355190204909,0.7158145288640283,0.6789679668275834
7.0,0.5649857359744047,0.2739889573749996,0.24142278296681077,0.6318163190569196,0.7231186500617436,0.6359655334068022,0.6253663430339547,0.7261359100450184,0.6447941861404474,0.6580654931565556
8.0,0.5691175704258787,0.2763431996323948,0.2409137468621559,0.6453864885413129,0.6784314396588699,0.7302460930156508,0.6133916222598869,0.7082962914111964,0.7188579863407728,0.6926979982568767
9.0,0.5807663323740482,0.28664703316966866,0.2503446815563177,0.650323398411274,0.6822263859212399,0.7320288907599807,0.6244524395311514,0.709937650120184,0.7118258810798596,0.6945612153727939
10.0,0.5786498776707266,0.2820986926035198,0.24060709771909128,0.6469549382174457,0.6627757615513272,0.7381808069143875,0.5900910934011206,0.7121080227720673,0.7329939804442341,0.6933434758829525
12.0,0.5434011302719672,0.2570598957823635,0.23412403687927197,0.6485693976283073,0.6597771793603897,0.645838235511473,0.6353612094526896,0.6788845518945175,0.6413652722231026,0.6503623172704457
13.0,0.51986936882294,0.26105540515810394,0.2142280974779288,0.6314100027084351,0.6881374617417654,0.8004895150875099,0.5737625080533846,0.7202319457831696,0.7944817132974453,0.7222414205553774
14.0,0.3097072419106317,0.1743827160493827,0.1679506933744222,0.6387465000152588,0.7438035011291504,0.2449832932658815,0.6514711473895499,0.598875222574241,0.1164118287365786,0.4029353729915627
