voteDistribution,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0.5555555555555556,0.5482341875501401,0.26730112022502356,0.24033726574534744,0.6483378426744304,0.7146100593269418,0.7344212078252101,0.5988709805175043,0.7419727230919754,0.7054871913446582,0.6951880256948371
0.5714285714285714,0.44467262633819504,0.1927381805157593,0.18462333573882928,0.6561204791069031,0.7078612148761749,0.8625531970338713,0.7034894681165458,0.8271295986603211,0.8357405113121459,0.8072281937807211
0.625,0.5314994820819521,0.259622696325578,0.24175576233102553,0.6450057119131088,0.7520822584629059,0.7642760669487689,0.6451337736945173,0.7834756901599169,0.6980570496365599,0.7227356451099408
0.6666666666666666,0.5547784699717098,0.27379497732888164,0.2409426408749592,0.6439917130903764,0.7054379788312045,0.6877492424998691,0.6081529365379986,0.7444592207398295,0.6709028944958526,0.6778160735683875
0.7142857142857143,0.5601458080194411,0.2347931873479319,0.2029161603888213,0.642853319644928,0.604870080947876,0.885208752533942,0.5405158763315385,0.7117688937920806,0.8602883264167787,0.749445462268585
0.75,0.5381595531315744,0.26622293906866057,0.248944939545173,0.6501835630490229,0.7145799467196832,0.66656311251404,0.6238922884023251,0.7021225387068084,0.6631254769553336,0.6639258541446268
0.7777777777777778,0.5555528774891882,0.2739738728185259,0.244455865480168,0.6495991933345795,0.705205249786377,0.7080587696565314,0.6053791326261888,0.726992355832274,0.6748019343023516,0.6788080481043365
0.875,0.5742164324272728,0.28276049704706185,0.24421357890239087,0.6397443731625875,0.6929932753245036,0.6818893028805892,0.6005126332493282,0.7766791640688715,0.6534297865754247,0.6781277216935534
0.8888888888888888,0.5712914670767167,0.28533151396709316,0.25752305005955994,0.6521494876254689,0.7007760965462887,0.6755355046002444,0.6078027055517768,0.7197581253826202,0.6333911983124302,0.6591218834617678
1.0,0.5709943779442456,0.28810014453721505,0.2585412282189218,0.6527071239079459,0.6895911355139845,0.6864651051676609,0.623397828742507,0.7280741878633875,0.6575915432426712,0.6738821662540567
