respondentType,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0,0.5728827625776886,0.292883786765216,0.27377982485421126,0.662617007891337,0.667714407046636,0.35922964787968437,0.6660743287304434,0.6893856590552536,0.33270313642966326,0.5118481930237612
1,0.5570405181224459,0.2764945046482504,0.2483798218679635,0.6502638668302567,0.708174642535948,0.700319099825155,0.6114412647954678,0.7356143461419855,0.6747083340190673,0.6805207611954188
2,0.5590232873165298,0.2744037497728479,0.24880445019525585,0.6462276283030709,0.6945025082677603,0.691703969490142,0.6156586935967842,0.7225630560457935,0.6624049981295819,0.6730826793155754
3,0.5498607116567229,0.2731255769480311,0.24639170091369425,0.647768783045339,0.6921700337430933,0.6720218696427455,0.6086182411373167,0.7302967528373739,0.6497259943148311,0.6651657144830667
4,0.563348621185342,0.2761885521370296,0.25284668125707443,0.6427976012229919,0.7230282604694367,0.741583306232575,0.6258274578177303,0.7617636066237774,0.7436218251597791,0.7181990489584654
