voteDistribution,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0.5555555555555556,0.525600946765353,0.2554054180407051,0.22429103653632573,0.6432304847131082,0.6888417027412205,0.7158216048757844,0.5914448107552847,0.7294465719867739,0.701410260390924,0.6845308120021917
0.5714285714285714,0.5245594479008391,0.2313600378116507,0.20764577126751754,0.6528535187244415,0.7455494105815887,0.8439423701621315,0.6267756030213403,0.7204476030080206,0.8374422011024747,0.7571519443234918
0.625,0.5135846131580493,0.24733292991125305,0.22223201665668801,0.6380204200744629,0.707614877820015,0.6912761140260987,0.6370551387129411,0.7382257239195045,0.6477875970824439,0.678586143435247
0.6666666666666666,0.526219678869699,0.251226959145969,0.2221509561717207,0.6373966119506143,0.7080718712373213,0.7080281642116769,0.622566265371225,0.729372922893557,0.6723588681511594,0.6830815551569046
0.7142857142857143,0.6040268456375839,0.2675626145387905,0.223306894447834,0.6327564716339111,0.6573618054389954,0.8861317358331016,0.5987515602168483,0.6753761956657887,0.8593319853944328,0.7548978692775428
0.75,0.5349350165991734,0.2609766235757231,0.2316898748697498,0.6409917657191937,0.7001606615690085,0.680302092548009,0.6097965927499138,0.7185230649943105,0.6597014769070372,0.6670808067998176
0.7777777777777778,0.5292184721819337,0.25784969735161817,0.23015869625656993,0.6430250787734986,0.6839513647556305,0.7090643837431057,0.596455973317018,0.7215624173062406,0.6808270126623155,0.6769774467571699
0.875,0.5417562306776822,0.2584602955084901,0.23417398521117067,0.6425713221232097,0.6964009881019593,0.7834465562443038,0.6382773921841098,0.7803066349544033,0.7879624431406602,0.7474982566308693
0.8888888888888888,0.5358994462559897,0.2654750085329261,0.23555883077461617,0.647138516108195,0.6785753080339143,0.6185710770293906,0.6265077730906479,0.7186028764329199,0.5507133059093869,0.6285987581155863
1.0,0.5546715387078005,0.2755046935513104,0.24361653876557848,0.6443863255997836,0.6744862330161919,0.6381954144403469,0.6168835115702757,0.7218648112045774,0.6057927426157579,0.6456841199577394
