voteDistribution,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0.5555555555555556,0.5374435170495525,0.25555150647059877,0.22291523192670903,0.6421871726666022,0.7001076466446623,0.7021599285374834,0.6105098230571607,0.7227921253962055,0.67844011678875,0.6784754984448998
0.5714285714285714,0.4910968248515483,0.22497534012535236,0.2210541296559846,0.6510791778564453,0.6312240064144135,0.8097118113823132,0.5767187368953055,0.7661614541324626,0.7677949958801299,0.7300967495725528
0.625,0.5631006862783348,0.2751341175697946,0.2365648227398951,0.6425868093967437,0.7038001418113708,0.6208074449845663,0.6335540031943692,0.7312085471588329,0.5913915349831328,0.6442403825802253
0.6666666666666666,0.5658410837872166,0.2703926560888451,0.23154601642129108,0.6377410433509133,0.6886758945204995,0.7046247529446106,0.6031436709433945,0.7104155465188448,0.6752512898737603,0.6733588150701525
0.7142857142857143,0.5171874999999999,0.2441314553990611,0.25625,0.6417546272277832,0.6388413906097412,0.1034840877109578,0.6011992541553944,0.6882062534815581,0.0930862802954192,0.3714939689108324
0.75,0.5499394763034048,0.26456650794598935,0.22853919222972593,0.6413399049868951,0.6969089599756094,0.7077922865055043,0.6175012233755843,0.6966968767199583,0.6941211959894266,0.6790278956476183
0.7777777777777778,0.5610228936644269,0.27444390987481504,0.23823675742496112,0.6456277084350586,0.6814034855365754,0.7314457529628275,0.6050767106836237,0.703832042737082,0.7281883315559348,0.692135709484867
0.875,0.5487767140394388,0.254489010868171,0.22185417583147687,0.6273995161056518,0.6664546807607015,0.6889027880606531,0.6203595766349685,0.7554395737887104,0.6578330161488677,0.6806337386582999
0.8888888888888888,0.5702486350003027,0.2832340311519151,0.24256331064801456,0.6439452044891588,0.6933036609129473,0.6702122083692009,0.6374192969497378,0.6947409105968221,0.6583009909027648,0.6651683517046313
1.0,0.5785202951078898,0.2868334279663445,0.24632946576056536,0.6451723035109245,0.6800392914121434,0.6798212293156124,0.6288162533258107,0.6923964616864525,0.663988305252231,0.6662555623950267
