Folder Name,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
sled_voteDistribution,2.462839012197103,1.316471040319535,1.393206373801096,1.135683054377409,2.1821548982599737,1.592474803568332,2.7914698637097985,2.9277404256525226,2.4997567881696003,1.4544002200219848
top_k_500_voteDistribution,1.7424993543757774,1.25937127170664,1.1912581584190718,0.3392344322146534,1.438451945669369,10.531679068410696,0.9054369111097686,1.7460011454749962,9.01341977276106,5.196693564180976
top_k_100_voteDistribution,2.619225839823668,2.2097330155473527,1.8537680545310944,0.5466772356701893,1.058062380013575,5.21721151574287,1.8787016793519935,1.0725782022771115,5.565740202345058,2.7208204644922835
top_k_1000_voteDistribution,3.302716457705686,1.3413515571989318,1.086027623958065,0.3163795189325603,0.8680230411688408,9.53858144589645,1.7100713435409645,2.789448691049901,10.540143073032736,4.510540544103336
top_k_25_voteDistribution,3.573897592265342,2.0179831515649487,1.226106031303981,0.3501199794356232,1.2483525143163672,2.4406179545352846,2.2836409525142094,2.619363281410199,3.324066184659986,0.8849271156428664
top_k_10_voteDistribution,5.6599413424522345,3.003407398272836,1.9777603494862568,0.6154153069269567,2.8972290209784943,7.167145596400284,2.760024637571193,2.8684867090506088,6.530104440206144,4.014749805405064
top_k_75_voteDistribution,4.127777125766361,2.2884492565927697,1.935256055409722,0.3781322519965749,1.0327516642446055,4.005188634758667,0.8582633628438306,1.3419836064572452,2.987416274977428,1.8609846855898595
top_k_250_voteDistribution,1.4319134052029838,0.8294431867222736,1.1552904396730717,0.3877937596197203,0.7783469663331395,3.246503349759553,0.8738878646599917,2.307426271844889,3.8577993726994153,1.344300561630473
top_k_50_voteDistribution,4.868648272364723,2.4819379524879346,1.6892554572947214,0.5271204795869735,1.3354160400414543,5.834022283125084,2.437006360270731,2.6073787603645164,6.025205058751112,3.045996717004138
top_k_1500_voteDistribution,1.4202450492784688,1.2824601358326893,1.5418560244069486,0.4626445719988528,1.4607751366996882,4.074511013606415,0.9980380754259836,0.3375440711966325,4.1660657700041135,2.0309111255788643
top_k_2000_voteDistribution,1.9369605055343808,1.6944096317006692,1.3663176790190483,0.4215210552273792,1.5193498609602725,4.29214445236877,1.106226016689176,1.447914362108479,5.224803919765796,2.4161324467007166
liberal_voteDistribution,1.8011063266781326,1.7359101359229403,1.3643108150271328,1.0551322192028825,0.8253823356481531,6.297042480403005,2.6946138869975425,1.352656645272558,6.328979696601969,2.572946948539747
mixed_conservative_75_voteDistribution,1.8793190256047532,1.2197376767157762,1.1218484746167814,0.3451144737619674,1.9631566417379944,2.361931413060082,0.9776175121181092,1.3743856809498591,1.824692850865592,0.7378509334547172
temperature_0.7_voteDistribution,1.2892571504552546,1.0554619841567003,1.3744875408675037,0.432323952609615,1.9909133582353615,3.419353155203481,1.6665965318576672,1.5185466736323938,3.776106990009685,1.8357930166551997
