Folder Name,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
sled_partyWinning,0.2100000000000008,0.0049999999999998,0.1849999999999996,0.1449999999999995,0.7100000000000009,1.205,0.625,0.1950000000000002,0.8550000000000004,0.7199999999999989
top_k_500_partyWinning,0.0650000000000012,0.2249999999999996,0.0449999999999999,0.2349999999999994,0.25,1.910000000000004,0.0250000000000021,0.3000000000000042,1.4099999999999966,0.7650000000000006
top_k_100_partyWinning,0.0449999999999981,0.2750000000000003,0.0299999999999993,0.1849999999999951,0.134999999999998,1.2650000000000006,0.2149999999999998,0.0899999999999963,1.5549999999999995,0.7849999999999966
top_k_1000_partyWinning,0.25,0.2999999999999989,0.0150000000000005,0.2149999999999963,0.1850000000000022,0.6049999999999969,0.375,0.019999999999996,0.125,0.2800000000000011
top_k_25_partyWinning,0.1000000000000014,0.4250000000000007,0.0150000000000005,0.1799999999999997,0.2150000000000034,0.7650000000000006,0.1950000000000002,0.2899999999999991,1.6550000000000011,0.7250000000000014
top_k_10_partyWinning,0.3049999999999997,0.3949999999999996,0.0700000000000002,0.3300000000000054,0.1649999999999991,0.2200000000000059,0.625,0.5450000000000017,0.1749999999999971,0.3900000000000005
top_k_75_partyWinning,0.6499999999999986,0.245000000000001,0.2199999999999988,0.375,0.1400000000000005,2.765000000000001,0.4100000000000001,0.2049999999999983,2.9650000000000034,1.2800000000000011
top_k_250_partyWinning,0.0700000000000002,0.2350000000000012,0.0300000000000011,0.1150000000000019,0.1300000000000025,0.2349999999999994,0.0150000000000005,0.2250000000000014,0.1499999999999985,0.0450000000000017
top_k_50_partyWinning,0.375,0.2349999999999994,0.0899999999999998,0.2800000000000011,0.0750000000000028,1.1100000000000063,0.0350000000000001,0.240000000000002,1.3099999999999952,0.6750000000000043
top_k_1500_partyWinning,0.0350000000000001,0.2400000000000002,0.1150000000000002,0.1799999999999997,0.3049999999999997,0.269999999999996,0.4649999999999998,0.6049999999999969,0.1600000000000037,0.1599999999999966
top_k_2000_partyWinning,0.2699999999999996,0.2949999999999999,0.0700000000000002,0.2050000000000054,0.1150000000000019,1.1099999999999994,0.4450000000000003,0.2100000000000008,1.0249999999999986,0.5949999999999989
liberal_partyWinning,0.0450000000000017,0.2699999999999996,0.0400000000000009,0.3499999999999978,0.0350000000000036,0.7900000000000063,0.0350000000000001,0.1700000000000017,0.3400000000000034,0.2299999999999968
mixed_conservative_75_partyWinning,0.2899999999999991,0.3950000000000013,0.0600000000000005,0.1400000000000005,0.2800000000000011,0.1300000000000025,0.1700000000000017,0.3250000000000028,0.4650000000000034,0.1099999999999994
temperature_0.7_partyWinning,0.1050000000000004,0.2800000000000011,0.004999999999999,0.2299999999999968,0.1350000000000051,1.1450000000000031,0.1499999999999985,0.2250000000000014,1.2149999999999963,0.4950000000000045
temperature_0.5_partyWinning,0.120000000000001,0.3049999999999997,0.0250000000000003,0.1999999999999957,0.1849999999999951,0.7150000000000034,0.0600000000000022,0.1099999999999994,1.6849999999999952,0.5850000000000009
temperature_0.9_partyWinning,0.6099999999999994,0.0,0.1600000000000001,0.3249999999999957,0.0450000000000017,0.9549999999999984,0.4499999999999993,0.0300000000000011,1.2850000000000037,0.4549999999999983
temperature_0.4_partyWinning,0.2950000000000017,0.4350000000000005,0.1000000000000014,0.1749999999999971,0.019999999999996,0.029999999999994,0.3900000000000005,0.1099999999999994,0.1649999999999991,0.1199999999999974
temperature_0.8_partyWinning,0.2449999999999974,0.3449999999999988,0.075000000000001,0.1950000000000002,0.3500000000000014,0.269999999999996,0.3299999999999983,0.4399999999999977,0.2049999999999983,0.1700000000000017
temperature_0.6_partyWinning,0.1000000000000014,0.205,0.0499999999999989,0.1900000000000048,0.1900000000000048,1.8500000000000012,0.754999999999999,0.2899999999999991,1.6649999999999991,1.1350000000000051
mixed_partyWinning,0.3150000000000013,0.5449999999999999,0.1750000000000007,0.0600000000000022,0.029999999999994,0.2299999999999968,0.1199999999999974,0.2199999999999988,0.634999999999998,0.240000000000002
partyWinning,0.379999999999999,0.4449999999999985,0.0700000000000002,0.1649999999999991,0.375,1.0050000000000026,0.1899999999999977,0.3299999999999983,0.7850000000000037,0.3150000000000048
conservative_partyWinning,0.6449999999999996,0.0,0.1150000000000002,0.2950000000000017,0.0549999999999997,1.3200000000000005,0.0150000000000005,0.0450000000000017,1.4500000000000028,0.6750000000000043
mixed_liberal_75_partyWinning,0.2449999999999974,0.3200000000000003,0.0499999999999989,0.259999999999998,0.1200000000000045,0.5949999999999989,0.5150000000000006,0.2050000000000054,0.4000000000000057,0.1700000000000017
top_p_0.4_partyWinning,0.1549999999999975,0.1800000000000015,0.0899999999999998,0.2450000000000045,0.2850000000000037,2.019999999999996,0.1550000000000011,0.0349999999999965,1.7349999999999994,0.9849999999999994
top_p_0.7_partyWinning,0.0350000000000001,0.205,0.0199999999999995,0.2149999999999963,0.1099999999999994,1.1299999999999957,0.4149999999999991,0.3950000000000031,1.3900000000000006,0.8349999999999937
top_p_0.6_partyWinning,0.634999999999998,0.4849999999999994,0.0150000000000005,0.1450000000000031,0.1550000000000011,0.990000000000002,0.2749999999999986,0.2700000000000031,0.6350000000000051,0.4050000000000011
top_p_0.1_partyWinning,0.139999999999997,0.2850000000000001,0.1349999999999998,0.1799999999999997,0.1850000000000022,0.9249999999999972,0.2749999999999986,0.0949999999999988,1.2149999999999963,0.5800000000000054
top_p_0.3_partyWinning,0.0100000000000015,0.1549999999999993,0.129999999999999,0.1949999999999931,0.0399999999999991,1.9650000000000036,0.254999999999999,0.0300000000000011,2.440000000000005,1.1750000000000045
top_p_0.5_partyWinning,0.2800000000000011,0.2699999999999996,0.0,0.134999999999998,0.1350000000000051,0.8150000000000048,0.4799999999999969,0.3999999999999986,0.75,0.1699999999999946
top_p_0.9_partyWinning,0.504999999999999,0.1050000000000004,0.2949999999999999,0.1850000000000022,0.2650000000000005,1.0150000000000006,0.2049999999999983,0.25,1.0450000000000017,0.5249999999999986
top_p_0.8_partyWinning,0.1400000000000005,0.3500000000000014,0.0749999999999992,0.1799999999999997,0.0450000000000017,1.7800000000000011,0.4699999999999988,0.0300000000000011,1.6299999999999957,0.9650000000000034
top_p_0.2_partyWinning,0.1750000000000007,0.3099999999999987,0.120000000000001,0.1899999999999977,0.0050000000000025,1.2149999999999963,0.2800000000000011,0.0900000000000034,1.605000000000004,0.7999999999999972
LongT5_tglobal_base_partyWinning,0.0899999999999998,0.1750000000000007,0.2400000000000002,0.1799999999999997,0.0450000000000017,0.4899999999999984,1.2349999999999994,0.125,0.6699999999999999,0.0150000000000005
