respondentType,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0,0.5666801963613807,0.28851273437638164,0.25829798246038893,0.6674148241678873,0.724206546942393,0.5993000074773688,0.6623867315305239,0.7550648476888702,0.5306601123837993,0.6368529247701405
1,0.5612639146192511,0.2812262723831105,0.25232352264200475,0.6503671958081184,0.7029720172286034,0.711912226186159,0.6143981576963427,0.7264965535258896,0.6883863834188922,0.6852983302068208
2,0.5661385646184902,0.2780210775372602,0.252216347881738,0.648282939568162,0.6977496066441139,0.688837767114583,0.6189523402863388,0.7298348936759163,0.6516208658633865,0.6723114667350562
3,0.5520188797922452,0.2748400419856186,0.24695177701067472,0.647585106419993,0.6958846305752848,0.7092959858550112,0.613794760949448,0.7285188679966588,0.6891677223611796,0.6851943342905743
4,0.4814310423288769,0.23901500079817,0.22908995720066244,0.631553566455841,0.7224393606185913,0.6275213916123501,0.6825552202969958,0.7502807873691559,0.5400158936475299,0.650093323231508
