respondentType,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0,0.5447597104483747,0.2867264023727527,0.26555549295344333,0.6631820996602377,0.706848661104838,0.3692158039150413,0.7136651775695694,0.7326510808502033,0.344548468606563,0.5400201327353443
1,0.5486059794829231,0.2727844166328869,0.24550919482600894,0.6504946701949642,0.7016477892475743,0.6978081163979037,0.619232912928271,0.7361457327475647,0.6662356445126498,0.6798556016465973
2,0.5597708141384963,0.2750765066690006,0.24786608202092755,0.6481580765297016,0.6982449057201544,0.7148508046412291,0.6194266884466367,0.7272725103081347,0.6920800945219815,0.6884075244794955
3,0.5395594582903556,0.2692936510031966,0.24277635357012212,0.6452863864846282,0.6945089484964099,0.650872219154355,0.6126296262640827,0.7326893592354362,0.6184410470844728,0.6536580629345866
4,0.5727898768650614,0.26918541307225186,0.24566797790968176,0.6390463769435882,0.7243209421634674,0.7470248346158452,0.619529825692472,0.766840055047735,0.7320481246648824,0.7163607100052337
