voteDistribution,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0.5555555555555556,0.5347180517777624,0.2638674873927943,0.23780205343691696,0.6492675307693831,0.7073055981496058,0.7137730690497048,0.6060792685619633,0.7344675754260207,0.6925986491206991,0.686729640539597
0.5714285714285714,0.44924208666280874,0.20599965294638312,0.1972554219618226,0.6383966207504272,0.7414792478084564,0.9036451523791086,0.6643468101995018,0.8123090626590472,0.8344658545686859,0.8036917199515858
0.625,0.5536209502618078,0.2734968963263785,0.2407460556288809,0.6463166445493698,0.7322149187326431,0.6798375624169049,0.6385046210447113,0.7574314013880019,0.6204849904004286,0.6740646438125116
0.6666666666666666,0.5369417393913936,0.26301984208622003,0.23754860969431826,0.6401585264639421,0.704563190720298,0.7502668720584126,0.617555638692072,0.7394284991305601,0.7063815743195113,0.703408146050139
0.7142857142857143,0.5849172286940527,0.2565991405770412,0.2158185162477008,0.6693311333656311,0.6506648063659668,0.9268465337119224,0.5548061075575819,0.7610416505569189,0.9076923887321108,0.7875966701396335
0.75,0.5312868543704878,0.26860551454669673,0.2460183686574061,0.6463596797906436,0.721685705276636,0.6414452411912431,0.635015367018782,0.7339631017901763,0.5758730784251138,0.6465741971063288
0.7777777777777778,0.5419792767487038,0.26657270353875406,0.2409976049455441,0.6470995867252349,0.6952679973840713,0.6990666968369161,0.5984580391768654,0.746414791865343,0.6859125395883662,0.6824630168668727
0.875,0.5531602107487456,0.27144981569425813,0.24652036916889558,0.6406013329823812,0.6977109829584758,0.6662031182213146,0.6391438578452706,0.7696537848601288,0.6267758969528263,0.6754441644698851
0.8888888888888888,0.5632027140365716,0.2868926286852296,0.26537560190733006,0.6575119206399629,0.7103929989265673,0.6882117337660543,0.6154249054495586,0.7051514933997636,0.6224574228140849,0.6578113888573653
1.0,0.5571056204703824,0.2782788804581843,0.2506058022795306,0.650310059472666,0.690611780700037,0.6960557755362953,0.625302252544842,0.7295199611895007,0.6495616006081814,0.6751098974697048
