issueArea,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
1.0,0.5610621734871981,0.27663710558578636,0.25218289645627506,0.6523880078242376,0.7122559822522677,0.7019636239782893,0.6225394707688282,0.7292007722374534,0.6750852612457139,0.6821972820575711
2.0,0.552041230277615,0.2738886916000657,0.24088622969144685,0.6440425051583184,0.6953805923461914,0.7446449983104699,0.6031705873012612,0.7368551879721841,0.7247229420211417,0.7023484289012643
3.0,0.5337142012947031,0.26917820139307547,0.24159766245930572,0.6409046153227488,0.7274282614390055,0.7425120771928299,0.5743966766142871,0.7265323494070108,0.7256105582907739,0.6922629153762254
4.0,0.555790221552513,0.28561594721061473,0.2556660098719455,0.641258105635643,0.7238782793283463,0.6934270376732102,0.6325336847168108,0.7255594903472572,0.6645629711046038,0.6790207959604705
5.0,0.5360134415088046,0.26236210728551035,0.23261572772744654,0.6551120102405548,0.7132765710353851,0.7223307793860582,0.5896371633481688,0.7450652877699945,0.663776595675927,0.6802024565450371
6.0,0.5608304045958465,0.2787954222531723,0.2534448669678512,0.6585042277971903,0.7058078447977701,0.6508813064131439,0.6711855615586653,0.7443360185511249,0.6080341014698789,0.6686092469982032
7.0,0.5241035527619089,0.26259409085852525,0.24188351088485846,0.6399353529725756,0.7187047856194633,0.6458787556712552,0.6305758828387685,0.747121131376319,0.6227004714557107,0.6615690603355134
8.0,0.5558353448944082,0.2768082087528144,0.25204374415338004,0.6493622721105382,0.6882146739441416,0.6725584940556698,0.6234744029660758,0.7334766756776496,0.6275898647153513,0.6642748593536867
9.0,0.5655604948466106,0.2826682752365533,0.25227383680100396,0.6520498264580965,0.676851961761713,0.6795804617094809,0.6170062999069983,0.7352787923742099,0.6523281953003147,0.671048437322751
10.0,0.5320674880641707,0.25883199818085695,0.23601412479279602,0.6411843454396283,0.6982231316743074,0.7063472679835117,0.593847383603969,0.7141208869182321,0.6843642673017568,0.6746699514518674
12.0,0.5959988036097204,0.2867643215539838,0.25365763655877727,0.6376504153013229,0.6613798141479492,0.686348979807024,0.606931892893937,0.6898801077254324,0.6677089372777265,0.66271747942603
13.0,0.4939134917756345,0.25123956596251934,0.2107448027720112,0.6391379038492838,0.716415286064148,0.7261377038409399,0.5943334674455079,0.7060950335938704,0.7158885674458696,0.685613693081547
14.0,0.6445040214477212,0.3531937734836285,0.3367292225201072,0.6823258996009827,0.7722664475440979,0.924928754766468,0.6474075224008022,0.8055667194600039,0.8983566197980966,0.8190649041063426
