voteDistribution,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0.5555555555555556,0.5454803056385712,0.2603536974816527,0.2248558966209361,0.6411450893507091,0.6921723446714769,0.7694622598857197,0.5936771701211431,0.7352443227667413,0.7416156221782028,0.7099998437379517
0.5714285714285714,0.42425609685262167,0.19037934381189295,0.19231203272675976,0.6289232075214386,0.683895617723465,0.6927927908325137,0.6425176595640895,0.770572201033192,0.5782051055547531,0.6710219392461371
0.625,0.5595400439382189,0.2723658513197986,0.23572201024378775,0.6416237562894821,0.7196339577436447,0.7617463441705571,0.6226161943671622,0.7117670283188224,0.7596958012135487,0.7139563420175226
0.6666666666666666,0.5732048539739413,0.274662266758419,0.23489564589442982,0.6393012176860463,0.7019682819193059,0.7631904619667236,0.6127229333444512,0.7105386037358788,0.7418038610701847,0.7070639650293097
0.7142857142857143,0.5774735532047293,0.2554517133956386,0.20784069695084,0.6526070237159729,0.5833221673965454,0.7790918244915995,0.5039871265853735,0.6482979635081504,0.7516585610467827,0.6707588689079765
0.75,0.5488832261613732,0.27089938210955344,0.2380096123345039,0.6463516721358666,0.7209565226848309,0.5879297730525157,0.6276366677864911,0.7263520948640855,0.5807364058136478,0.6306637353791851
0.7777777777777778,0.5506926678680929,0.2720441328298294,0.2360250502610484,0.6457464838027954,0.6856768178939819,0.740580879493018,0.5980067566741433,0.7192289715551179,0.7230884140061893,0.6952262554321171
0.875,0.5876228002180904,0.27999736321356833,0.2438374444796581,0.6396857062975566,0.6774312893549601,0.7241433837883243,0.5869286249396912,0.759846612218118,0.7148105495964132,0.6964322926356367
0.8888888888888888,0.5867076944619146,0.2944045274933822,0.2525362481792013,0.6485617540099404,0.694307778820847,0.7006325642073493,0.6118173810026913,0.7143140766488665,0.6921175400628969,0.679720390480451
1.0,0.5811518904723195,0.28937036261627,0.24952689907337455,0.6476413011550903,0.6832101654450772,0.7263422214596661,0.613776033285085,0.7023367364210783,0.708274762696827,0.6876824384656641
