issueArea,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
1.0,0.5630127079622933,0.2750181080009438,0.2489593917688406,0.6506192344885606,0.7096954221908863,0.6880362209376776,0.628473767869057,0.737754160681059,0.6564925766040103,0.677689181522951
2.0,0.5487678047787578,0.27332458471524645,0.2451987987906651,0.6448804941442278,0.6907588528262244,0.7579810014502807,0.6114879589062262,0.7407939638653865,0.7258055810866376,0.7090171263271328
3.0,0.5325916451856483,0.27216030768162336,0.2501657724258043,0.6431741078694662,0.7168352345625559,0.70322301553122,0.5895869145195398,0.7250129035180477,0.668843012572618,0.6716664615353564
4.0,0.57414022221329,0.2832063399435072,0.2553822773380392,0.6450460851192474,0.7201560914516449,0.7096607458187304,0.6314217567804088,0.7246467555400468,0.7038743623272158,0.6924009051166005
5.0,0.5340843382591445,0.25756577992427565,0.24040736971478394,0.6486910283565521,0.6976114392280579,0.8316261195387739,0.5966903469884178,0.7458058806849899,0.7543599145349524,0.7321205654367835
6.0,0.5797281288076473,0.2850473184441679,0.25250149739347566,0.6524969471825494,0.7144763271013895,0.7573280395841154,0.6661599146986688,0.7452311688221649,0.7122282282145761,0.7202368378298813
7.0,0.5817930815355068,0.2855680476181782,0.24597049458978226,0.638624370098114,0.7285150800432477,0.8391001902579746,0.6105736214153464,0.7580230864233178,0.8370119833266555,0.7611772203558236
8.0,0.5709750688223921,0.28092852051431544,0.25227847502849887,0.6489051839579707,0.7002920625002488,0.7140760272497189,0.6164811410710611,0.7324828002563367,0.6843575727249556,0.6868493853255181
9.0,0.5819732888021947,0.29180121587588476,0.2621910855572268,0.6548617510125041,0.6869336878880858,0.7688734625697508,0.6085345694250229,0.7341122156032653,0.7493850492691481,0.7152263242167968
10.0,0.5586592725081606,0.272698334073302,0.24234621086358285,0.6451920646208303,0.7040271361668905,0.7630489954367582,0.612426756076133,0.7553215413454618,0.7455364398269879,0.7190834331713353
12.0,0.5863761831169956,0.2836246882802771,0.2506853510331076,0.6459086090326309,0.6549927368760109,0.6585491956070463,0.6090257402123884,0.7174301437223931,0.6266270917666774,0.6529080428271263
13.0,0.5089901209260228,0.263762894323768,0.22528079274694202,0.6327278316020966,0.7034846842288971,0.7360591046429033,0.6050952713676238,0.7471112518565409,0.7260403972471258,0.7035765062785485
14.0,0.4332855093256814,0.278735632183908,0.2955523672883787,0.6665546298027039,0.7875173091888428,0.8774058225917448,0.8405145906451001,0.7370061317149083,0.8429933654542816,0.8244799776015088
