respondentType,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0,0.5559070316492295,0.2970109666739452,0.2739679066492189,0.6687301695346832,0.7007621824741364,0.564737284357991,0.6943816424335739,0.7678687670496199,0.5489002446163692,0.6439719846143885
1,0.5588372721491196,0.2756587276944758,0.24820912996687391,0.649294734241501,0.7031591770149046,0.7111017953118833,0.6116873569127173,0.7328991562815869,0.6902355167760722,0.6864809563205649
2,0.5617765512603868,0.27445090351957796,0.24923451576371533,0.6488150780399641,0.6918442019571861,0.7127889357637707,0.6164321417791705,0.7264900663039678,0.6888425230318246,0.6861384167196833
3,0.5478339883293543,0.27215015413183224,0.24367272438482163,0.6515100015388741,0.6928914415312337,0.7043257161594411,0.6077456006881244,0.7273742086308986,0.6827433465902427,0.6805472180171768
4,0.5203813311359304,0.25463282768573176,0.22485082147562258,0.6453774273395538,0.7283524155616761,0.5774145010314409,0.6540362091021625,0.7570916647536432,0.5996083207908647,0.6470376739195278
