issueArea,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
1.0,0.5737626327604299,0.28029318040655504,0.2503507056554716,0.6526854602190164,0.7008682924967545,0.6849880542711174,0.6111328593730933,0.7183729469056307,0.6697069607396402,0.6710502053223704
2.0,0.5370765423310853,0.26619254422533106,0.23978708062869467,0.6466501898235745,0.6973716941144731,0.6931000298418506,0.6124250490618087,0.7242712756297768,0.685112942114677,0.6787273241620283
3.0,0.5438551322231324,0.2764436823455858,0.24461238480042724,0.6389973342418671,0.71606871287028,0.7589693073470255,0.5732438244765645,0.7489746259287453,0.734016549228726,0.7038010767452653
4.0,0.5601006146041378,0.27778101547017736,0.2476857362035772,0.6472254633903504,0.7136102676391601,0.7464370784527735,0.6224594114908165,0.7110859753654392,0.7377621330475574,0.7044361495891467
5.0,0.5531212867605794,0.2750199932956498,0.233923382758135,0.643887972831726,0.6920034468173981,0.7843143252352649,0.560386353850402,0.7109471399092768,0.7955965921740316,0.7128111027922438
6.0,0.5474090883912465,0.2694135748597054,0.24984532058871345,0.6513339347309537,0.6993896100256178,0.6581983793966137,0.6575962730083332,0.717984889413457,0.6175917616816518,0.6628428258750139
7.0,0.5523945222411379,0.2708235665009951,0.24366240713319604,0.6379735427243369,0.7113227333341327,0.7678216026684932,0.619908059606315,0.7391866898118309,0.7552200813775435,0.7205341083660457
8.0,0.5661626630996334,0.283206045218554,0.2544267709892333,0.6517190803652224,0.6949689543765524,0.7033330471860614,0.6167778808918012,0.7314406372672281,0.6669351068786598,0.6796216680559376
9.0,0.5779509195728711,0.29205866593720337,0.2637474592491712,0.6552811022847891,0.6905692480504513,0.707624390352965,0.609249337111363,0.7291094381375052,0.6788183485168207,0.6812003785296634
10.0,0.564573269564959,0.27268167766814283,0.24376667695374452,0.6439823596565811,0.7022818194495307,0.6277623230641167,0.591009009653697,0.7458473288412024,0.615325567084095,0.6449860571607778
12.0,0.6061565853603357,0.2950162080326725,0.2546891525183193,0.657310426235199,0.676018550992012,0.7244631170467655,0.6280350234020788,0.7179048871039829,0.6656916486067813,0.6840236690399022
13.0,0.41506945168015297,0.21561991993558427,0.19872242131336612,0.6319771210352579,0.7080202202002207,0.5412408726670506,0.65239561690712,0.8123436870539384,0.5558251388664445,0.6404513288736383
14.0,0.6491697911087306,0.3538873994638069,0.2999464381360471,0.6861775517463684,0.7328299880027771,0.8922101293648919,0.7046643970946722,0.7953496987621934,0.8680923269787069,0.8150791380501161
