respondentType,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0,0.5771400035963813,0.2977601363305921,0.255528431520964,0.6695736249287924,0.6891777912775675,0.6897832143957198,0.6444077497040323,0.771187587436756,0.6391422474266649,0.6861301997407931
1,0.5577801181288251,0.27507441740127614,0.24677942803750003,0.6504430246929969,0.703144913479205,0.7015304231258791,0.6107588975538275,0.7294470852086777,0.6799989552536777,0.6804338402855156
2,0.5624177504329672,0.2744353346507102,0.24727042071893723,0.6475420777375499,0.6910662520676851,0.7333995644303748,0.608171557476244,0.7289902490228798,0.6999984923659146,0.6926399658238532
3,0.5559202923036165,0.27432254754571894,0.24473188261350656,0.6490021852346567,0.6855374040839436,0.6974851977055951,0.6079763915341349,0.7262850659545133,0.6781519559660961,0.6774746527900849
4,0.5702612410297356,0.2808860398302019,0.24711375996065166,0.6496524214744568,0.7281797230243683,0.6646897841476158,0.603810129965142,0.7427202957363843,0.6469785208734433,0.6645496826806464
