respondentType,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0,0.5528319277456957,0.2856422891384884,0.24908553941829492,0.6690275569756826,0.6855053305625916,0.7349932016050902,0.6642232215020878,0.7024616704207375,0.650488909626394,0.6880417507885773
1,0.5579826484779083,0.2765721035932125,0.24622478997070726,0.6501619897542461,0.7034422734812382,0.7372940467218175,0.6124401043967562,0.7245341111398905,0.7037604882174151,0.6945071876189698
2,0.5668390207555952,0.2766803913368892,0.2487067846392972,0.6484435368329287,0.6932691968977451,0.7314876570422207,0.612446463600807,0.7228519747463302,0.7171147048382975,0.6959752000569139
3,0.5571985403449374,0.27754672950588516,0.24575365406456295,0.6462351869750809,0.6892314566360725,0.7242077625757671,0.6066551472057493,0.7294700998161161,0.6939967245059507,0.6885824335258958
4,0.51736396704491,0.2481679921871423,0.22625455915962017,0.6313852190971374,0.7162948608398437,0.7042469021061454,0.6646754288920096,0.7425476516528556,0.7130398289505393,0.7061274529003876
