voteDistribution,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0.5555555555555556,0.5426687001305573,0.2619101761680521,0.2357730696819457,0.6463548437171026,0.7093321495099899,0.739944763496438,0.6028766452605523,0.7390524045776014,0.7116703499564337,0.6983860408227563
0.5714285714285714,0.3169322828755511,0.15253336272170387,0.17223082019331354,0.6311498582363129,0.707625538110733,0.6285902237663556,0.6736183286929477,0.8637637396948972,0.49974746850950624,0.6664299401659267
0.625,0.5552662260988631,0.28428433062170966,0.25296383082683976,0.6423364996910095,0.7307864934206009,0.7188690145289859,0.6164297411804375,0.7471155446694333,0.6801153860125831,0.6906324215978599
0.6666666666666666,0.5707136925816311,0.27754759056289974,0.24299596138717547,0.6416446458209645,0.7179106972434304,0.7814322395972044,0.6126646792154125,0.7280902827541397,0.7610865222628772,0.7208184309574083
0.7142857142857143,0.5929319371727747,0.27129750982962,0.25,0.6596713662147522,0.5005326867103577,0.0768791754342123,0.4621307702051465,0.6863348436477869,0.1316438222787254,0.3392471528914678
0.75,0.5703862500487885,0.28618270344781355,0.25856611582287214,0.653058817753425,0.7218324633745047,0.8195336712392703,0.6238232017404066,0.7579978973999862,0.7961906900674272,0.7493863651117726
0.7777777777777778,0.5624733846513602,0.2754575143487938,0.24354340664141005,0.6481514513492584,0.6973794066905975,0.7416341470654647,0.5884542025772866,0.7281649871711194,0.724724210217569,0.69574438675786
0.875,0.5605511344716844,0.2747163390245518,0.24437768808009028,0.6332650462786357,0.702606217066447,0.708685071776209,0.6083307838732356,0.7548511093091599,0.6713777132835284,0.6858111695605332
0.8888888888888888,0.5827322637260288,0.28664530292848983,0.26593666155231044,0.6561412124922781,0.7081137714963971,0.7310110145446049,0.6230291725266619,0.7341638087984327,0.726698112171276,0.7037255270102438
1.0,0.5737120158323418,0.2880161945141574,0.2571721199464396,0.6540362440933616,0.6905382851422843,0.7153206897850688,0.6263532815946876,0.7236659496427225,0.6975813797722296,0.6907303251986772
