respondentType,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0,0.5393278675545492,0.26585220403023385,0.2330523395267304,0.6569116512934366,0.6681691408157349,0.7954201088997999,0.6380609570010038,0.7351720403149572,0.7102954576873398,0.719737140975775
1,0.5522208997657873,0.27209875290191216,0.24605518387867648,0.649686400207781,0.6979784948691246,0.7321552741422609,0.6159153009415901,0.736184835905936,0.7063834583444402,0.6976597173335568
2,0.5568527870829681,0.2754322133261446,0.248759603254376,0.6479681994145116,0.6892484134684006,0.6995331905874126,0.6109685872042074,0.7260990504534303,0.6812509977180192,0.6794629564907674
3,0.549609352014016,0.2749372737813937,0.24388472352459023,0.6482646923798782,0.6939017644950322,0.6745536296354303,0.6079163749368403,0.7298245225537817,0.6639183674344553,0.6690532236401269
4,0.5677320429853705,0.2749552080119181,0.249867483611163,0.6301896095275878,0.7385394811630249,0.7226133798109362,0.6202525715858938,0.7534705481402802,0.6903458187700012,0.6966705795767779
