index,issueArea,decisionDirection,partyWinning,voteDistribution,respondentType,rouge1,rouge2,rougeL,bert_f1
0,10.0,2.0,0.0,0.625,1,0.350844277673546,0.20187793427230047,0.18855534709193247,0.6426534652709961
1,8.0,1.0,0.0,0.6666666666666666,1,0.597079502433748,0.2598808879263671,0.23039480800432668,0.5975530743598938
2,2.0,1.0,1.0,1.0,2,0.43060109289617493,0.27680525164113784,0.22841530054644807,0.6825248599052429
3,1.0,1.0,0.0,0.6666666666666666,1,0.6409952606635071,0.34519572953736655,0.3045023696682464,0.6656458973884583
4,8.0,2.0,1.0,1.0,3,0.5296938399114718,0.2709486895533407,0.2183696053116931,0.6395003795623779
5,7.0,1.0,0.0,0.5555555555555556,3,0.503942921517086,0.2705749718151071,0.23807735636500188,0.5980836749076843
6,10.0,1.0,0.0,0.5555555555555556,1,0.5477855477855478,0.2707117852975496,0.25874125874125875,0.6167634725570679
7,8.0,1.0,1.0,0.8888888888888888,2,0.5952153110047848,0.2876318312559923,0.31387559808612436,0.6641688942909241
8,8.0,1.0,1.0,1.0,2,0.5877466251298028,0.33298647242455776,0.31360332294911736,0.6681261658668518
9,1.0,2.0,1.0,0.5555555555555556,1,0.5905617977528089,0.3049932523616734,0.24808988764044945,0.6375844478607178
10,2.0,2.0,1.0,0.5555555555555556,2,0.6355036171396772,0.28969359331476324,0.25598219254312743,0.6214140057563782
11,9.0,1.0,0.0,0.6666666666666666,1,0.5183547103051747,0.29747675962815406,0.24413976116762495,0.6409163475036621
12,5.0,1.0,1.0,0.625,2,0.5971370143149284,0.2968270214943705,0.2760736196319018,0.6977554559707642
13,4.0,2.0,0.0,1.0,3,0.28518057285180576,0.11097256857855363,0.1519302615193026,0.5875346064567566
14,2.0,1.0,1.0,1.0,1,0.6206896551724138,0.2934196332254585,0.18857758620689655,0.5542551279067993
15,1.0,1.0,0.0,0.5555555555555556,1,0.5716981132075472,0.2917847025495751,0.2377358490566038,0.6298128366470337
16,8.0,1.0,0.0,1.0,2,0.5504,0.2435897435897436,0.2832,0.6697158813476562
