issueArea,rouge1,rouge2,rougeL,bert_f1
1.0,0.5754307949103452,0.2784342671117579,0.250577111416924,0.6520466396441826
2.0,0.5431006848034883,0.27180921430127647,0.2421717224742623,0.6454866667588551
3.0,0.5241197077407356,0.2676639479722704,0.24602943601841806,0.6414421538511912
4.0,0.5539935289874548,0.27031246281350885,0.2483992849407209,0.6396394491195678
5.0,0.5347810630000664,0.26817846054615846,0.24266865498120982,0.6565259158611297
6.0,0.5469291112812857,0.26446793127748863,0.253389278801427,0.6483886374367608
7.0,0.5346819020051482,0.2625660454893053,0.2457018978390377,0.6376688778400421
8.0,0.5663991597115893,0.2831501773833735,0.2573713680461946,0.6504411369130232
9.0,0.5787096283385682,0.2941340196637752,0.2616805015937556,0.6578359538689256
10.0,0.5362665410081198,0.26094128022888435,0.2370916382048757,0.6459918507823238
12.0,0.564724785333644,0.28431512770145845,0.2664124957630175,0.6485980898141861
13.0,0.44427635283720823,0.23546115367021322,0.20553696818211617,0.641267865896225
14.0,0.6192560175054704,0.3253012048192771,0.311816192560175,0.689633846282959
