respondentType,rouge1,rouge2,rougeL,bert_f1
0,0.537625929609415,0.27313867924444873,0.26331380329520954,0.6655744512875875
1,0.5574457905592506,0.2769720247579454,0.24968419347255835,0.650530805991542
2,0.5659649635296341,0.2795197737544993,0.2530576249865867,0.6485250564292073
3,0.5515987668693138,0.2768756001050864,0.24950013759409978,0.6494687114443097
4,0.5393582901371154,0.2599307397046329,0.24158386872325827,0.6310671448707581
