issueArea,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
1.0,0.5465017644848341,0.2652255969431315,0.23562395614544304,0.6447588086128235,0.6970432107265179,0.6595974590303171,0.6137239808367647,0.7180697714006473,0.631162447100583,0.6556384145920781
2.0,0.5357875330712961,0.2627965624768168,0.23147414107471664,0.6422778719001346,0.6820540673202938,0.6724916185674921,0.5993089400148011,0.7343520570516839,0.6389079617192084,0.6612651443382964
3.0,0.5279222430182103,0.2641517857378883,0.2285193230256729,0.6281673351923625,0.705452968676885,0.6438891107045623,0.5748284297579234,0.7225192138326403,0.6330506340748909,0.6435718470925043
4.0,0.5606044087678084,0.27798284677282437,0.23275143737619014,0.6344308257102966,0.7218697965145111,0.7344459128491381,0.6245674760081544,0.7313321734065192,0.7123635927732066,0.7006772887592546
5.0,0.4892982631895172,0.23233245184424905,0.21010371010628828,0.6360926568508148,0.6984178185462951,0.48805676589547853,0.5769240003713677,0.670069395903355,0.46718552478053876,0.5505589217376851
6.0,0.5455134968958781,0.2660248864627695,0.23995235965175932,0.6474817130300734,0.65028801229265,0.7018494454668236,0.6253643708955018,0.7231184549426246,0.6838985628767777,0.683557708545432
7.0,0.51466458277585,0.2407172484796383,0.22221721646934872,0.6324759083134788,0.6957312609468188,0.8092809940409336,0.6216790634346163,0.7426369792230813,0.7609657499566594,0.7336406966638227
8.0,0.5383233063947369,0.26420772497218614,0.23640594870655018,0.6451215389846028,0.674844046001849,0.6883195868632932,0.6260873864003125,0.7254834048133271,0.6476892306595339,0.6718949021841166
9.0,0.5554721223744356,0.27590548648842333,0.24360549586442523,0.6490042759105563,0.678354368545115,0.6862689490833157,0.6158736215385542,0.7337823651319396,0.6750404489258629,0.6777413461699181
10.0,0.5364776518550202,0.2576597924693977,0.22474606251564128,0.6422328595761899,0.6803408905311867,0.7295337370380827,0.5884417529540584,0.7174604654555813,0.6894476781037193,0.6812209083878605
12.0,0.5088778285680793,0.25833846568905244,0.23003070994977176,0.6484967842698097,0.6204373985528946,0.5156234770049716,0.6791841989087419,0.7665342705928531,0.4922798550607315,0.6134054503918246
13.0,0.4801497789299248,0.24447690325988924,0.22161817448129498,0.6337700486183167,0.6550914347171783,0.5019113010805953,0.5849359143301397,0.7278773391404738,0.4795185445260805,0.5735607747693223
14.0,0.6407447973713034,0.356359649122807,0.2617743702081051,0.6600192785263062,0.7630669474601746,0.7375422478592536,0.606832449357404,0.7458783697674037,0.7908481449913349,0.720275302993849
