Folder Name,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
sled_voteDistribution,4.052588802234937,1.89785694929834,2.152809559622031,1.7015040405476571,3.1278976965367646,2.519897021705451,3.9397847656946943,4.067920353202605,2.863473589890432,1.7449186227443385
top_k_500_voteDistribution,2.115874287380986,1.443665127375459,1.390935296841661,0.5983443824420869,2.037264096772924,19.18109905610208,2.477486831448352,2.128453898960464,14.59358931174918,8.502486989110894
top_k_100_voteDistribution,3.440791914661508,2.860937783315115,2.100566828263266,0.9791858863361944,1.2416940041733304,18.529149170968427,4.498807508662713,1.553804685280617,18.36061534916518,8.543712307890523
top_k_1000_voteDistribution,4.468946632037578,1.6423218320414548,1.2877301736000442,0.4151156465372028,1.0623841113269747,14.03869067968947,2.6223327401380634,4.390927464670762,15.668114149443769,6.449373302887654
top_k_25_voteDistribution,4.662360882643041,2.37555993399451,1.3231160191003657,0.5866182745193003,2.380388413683784,5.311133588980794,3.9145926991195386,3.1496363282131474,6.90056816501366,2.131424171768728
top_k_10_voteDistribution,7.647809098035855,3.856994296080823,2.486162504745014,0.906695097593453,6.369454058237646,20.19332602618994,5.169472023330815,4.357245001144645,18.51922881763709,11.030873990758844
top_k_75_voteDistribution,5.039790074993205,2.7795532015055944,2.2939782039069163,0.6272447688103916,1.958739645792672,7.512709298249202,1.5537747584511732,1.527999999999998,7.216728898884869,3.735072154590857
top_k_250_voteDistribution,2.081504503958614,0.9453338034789612,1.4309399009042978,0.7213293283930717,1.106783176597838,6.010377359201334,1.4391111840299198,4.4618369535427895,6.677919136976727,2.1140160831933144
top_k_50_voteDistribution,6.682077221942291,3.1976341254120992,2.0641860381273776,0.8980868554878192,2.284246046291862,13.297750336053088,4.522760771917966,3.666768195564045,13.295428688086744,6.370503041361804
top_k_1500_voteDistribution,1.7062602380645226,1.5690407897820886,1.9003326024672629,0.8184888514818033,2.101651969285114,7.0160744009738085,1.85294792155635,1.0946889969301778,6.400845959715012,3.664193772168716
top_k_2000_voteDistribution,2.832638522649864,2.208099861872193,1.529485207512646,0.6140431580923273,2.426656959687544,7.827964997366809,2.126246457962952,3.2543369524374683,8.00243744118003,4.84113096290526
liberal_voteDistribution,2.2487987904657007,2.027771190248052,1.5488124482970815,1.6376312161167437,0.9831195247781428,9.006285360791098,3.785417942579128,1.7115665339097974,8.777118889476204,3.6112634908020778
mixed_conservative_75_voteDistribution,2.3661479243699026,1.3268745230804604,1.4455064856305555,0.3833392753162655,3.761373286447385,4.430405850483678,1.7089730834626964,2.732922245509373,3.754771497707952,1.5877849350589022
temperature_0.7_voteDistribution,1.544237352222773,1.298801370495119,1.6702817127658434,0.7599868419913595,4.1152430061905205,6.556465587494531,2.843891699766361,2.293840447808001,7.061105366725522,3.354150264970251
temperature_0.5_voteDistribution,6.7143991540569,3.399751314434631,2.2292231830841884,0.8028131787657711,3.157418090782404,9.66262469518505,3.193799618009873,2.995693742691332,15.118649939726762,5.257601068928681
