Folder Name,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
sled_issueArea,2.6393006066584555,1.325745073534124,1.349555701598114,0.7768514818496975,3.285678624526241,6.782106548172863,4.551364708530747,7.85866415918532,9.977331525949122,6.360417908937381
top_k_500_issueArea,2.704772245385604,1.5827427321624374,2.7283226309764435,1.1512092947143402,2.886174963019353,15.80756421434158,3.1290978339511653,1.7356096417116271,13.42778348167594,6.930332949642421
top_k_100_issueArea,5.009654347995531,2.837047385896557,2.1084403501306763,1.2658018951912755,1.3535943821837069,8.067433692974028,3.5685669143908743,3.030344952731352,7.913976775450309,4.23833672858258
top_k_1000_issueArea,6.277631181778512,1.3775945934509637,1.3794506238603248,1.1242943875260094,2.9761630912236856,5.452102466184504,6.787888361071275,3.601686488595333,4.3731006697142965,3.402355258019825
top_k_25_issueArea,3.6550874005043226,2.36701569779532,3.078098813828482,1.2832374000363564,1.2136633380904482,7.415764273715394,1.6101512296205347,2.49040430642646,8.840876218322046,3.771276054192146
top_k_10_issueArea,3.526925845146132,1.9824532050111976,2.256885322949916,1.3072433618498849,2.9911433368426965,7.844393995699304,2.227793505988704,1.9301279964914853,7.736939519997211,4.258529901630012
top_k_75_issueArea,2.9869063372418663,2.08857472423139,2.46826364956967,1.2865788771391322,3.1463357103727603,8.381308875201919,1.9255808314536,1.7888606667952365,8.690120691517242,4.428269059565522
top_k_250_issueArea,4.433915549555687,2.828982295526497,2.268443931381705,1.0935556251629095,1.4526625218428617,5.737068917427576,2.062025200862997,1.7281802859052986,7.156981116240622,3.012864331378025
top_k_50_issueArea,4.025428493491473,3.179275716706596,2.429498694242384,0.8393848127678541,2.8151567793477668,5.414629099395792,2.538960557011309,1.1798731252621957,4.450977154865669,2.298853071378634
top_k_1500_issueArea,3.51277112074578,2.0787268520524256,2.356572327787686,1.129966224556756,1.434508760731486,7.3776319543900994,5.261817244076344,1.1248689601525987,10.790670855641595,3.225369113320174
top_k_2000_issueArea,3.966120725528592,3.652822852657847,2.4982881713249663,1.0042112510255965,2.3993749185985918,7.614222988327589,3.954867273111576,1.5462143118678129,7.02586481021098,4.407904545836616
liberal_issueArea,3.892639237931816,3.1701647242214763,1.2046222614991835,0.9937407660246048,1.808209745910883,8.781906560664186,1.7684871346894584,2.150908161024027,9.421832633703213,5.151371966388632
mixed_conservative_75_issueArea,6.850666015218594,2.765117885927636,2.033623576788734,0.7725428694946971,2.545939800438261,14.141653611367566,2.5329593048915515,4.08547043056895,16.935865377791433,8.148578341900066
temperature_0.7_issueArea,4.053880601225705,0.9057410578666096,1.5313435335519845,0.7820962576390558,2.876409044986968,6.1238740300641945,6.263284296398718,1.1498124364665985,6.084957006844661,4.205547618233655
temperature_0.5_issueArea,3.740377160364333,2.325974250291209,3.361418058044363,0.7738912664629919,1.444954903987045,12.43791378842465,2.5693620417868623,1.3969133344289193,12.060259891024458,5.951668355429237
temperature_0.9_issueArea,4.915358733530032,3.3815640091426618,2.642537107944542,1.3560327621672752,3.0376624070834946,7.645695621620149,3.975543727465979,1.793481292885153,8.115856420845985,4.757975428426969
temperature_0.4_issueArea,3.4853573670904043,2.4315675417432208,2.787335687836395,1.3065361404838862,2.504602390818684,8.523297831072183,2.6399592071440448,2.351783661507272,9.248394967098648,5.131733850044475
temperature_0.8_issueArea,3.846096922655687,2.4874984463733965,1.97650669066028,1.3057750651280111,2.555445050922448,6.78672058739425,2.457728301168961,1.9032037766315544,6.263216369401652,3.5148319713724936
temperature_0.6_issueArea,4.6341498010636455,2.495065425853587,2.4632080876045035,1.2503381791060286,2.463410826356067,6.499107813143577,2.3826473268244426,1.4395405249859865,6.884935188102985,3.635395683436389
mixed_issueArea,2.4624202747434194,2.088987467423693,1.5315073597274702,1.1348497802214352,2.8551966532962454,13.264130078733476,3.434869574537416,1.7906558912058057,14.735943216679653,6.48719667576521
issueArea,3.8499150839786265,2.001912103716324,2.2467296416881664,1.2780717724843542,2.0776411863958337,7.237598575224706,2.5592281103313264,1.8212808419695867,6.517187290351168,3.924556734477178
conservative_issueArea,3.792842683437024,2.8813148297138573,1.2001784877120834,0.8336126553571497,3.367715149094974,9.51535389585241,2.6652968128506287,2.09775112044151,9.837646384706686,5.118062225759428
mixed_liberal_75_issueArea,5.083606905691828,3.094338598302833,1.6492860208885012,1.333283085838206,1.7566822548140848,8.13152270724626,2.8883829754756825,1.3313200282995374,8.466644193854224,4.37672258564739
top_p_0.4_issueArea,3.5467978724377565,2.418112863884813,2.7279962085034994,1.1735819845908568,2.106951301521289,9.84801815282961,2.08913730390231,1.0342404239043606,9.866852462401214,4.619323319382838
top_p_0.7_issueArea,3.101201141607886,2.4039442441525303,2.686839281654893,1.4744028978964474,3.6414122041093737,8.166200509982032,2.0234790474875948,1.0024520233764782,7.214317372276395,3.74543445943736
top_p_0.6_issueArea,2.565548259110026,2.219194373785012,2.956335089221672,1.4996248051472796,2.025705808766079,10.970979308259064,2.6286453414945394,1.3970069442801154,13.827452926619198,5.637884848250287
top_p_0.1_issueArea,4.551290863118953,2.580174756706981,2.7313635322970344,1.2296340919151534,2.839954370831048,8.364903363699048,2.45161002526428,2.0586124470381977,8.133571309610602,4.412873046067613
top_p_0.3_issueArea,3.4984461470468555,2.3981390714295867,2.7517480189441974,1.1686719312280232,2.599228151249622,6.755963572058557,2.5200300552354418,2.6027052380577067,7.076788543871759,3.954783636239466
top_p_0.5_issueArea,2.488083552317649,2.2704841388682,3.411932940509315,1.198020062856176,2.9724319133144053,10.597826672366123,4.066282631331696,1.872696691781212,11.67824371775829,4.749148288636146
top_p_0.9_issueArea,3.6048012033919887,2.339250878926032,2.560316640920639,1.3194704873031102,1.4419189219629491,6.697739705285906,2.160525631858406,1.8900853116214371,6.68130572222572,3.6945520422507783
top_p_0.8_issueArea,3.441280207634306,2.277287133057781,2.783273157175849,1.2640266269384768,2.0733533424962167,7.59110917202081,2.1460970491519475,1.198957634065536,8.657340627788775,4.175992813251881
top_p_0.2_issueArea,3.9723479113735847,2.458280777026544,2.6896364770537726,1.210091199066902,2.7650618191833125,8.056589863998687,2.0370145807938784,2.213358047436936,7.735526282283923,4.24791825103257
LongT5_tglobal_base_issueArea,2.5367497725010284,3.2068785169515235,2.069769160727404,1.2192863370011306,4.650822158023473,6.710238842652607,3.674828176959777,4.841116185050692,6.94007187521398,4.639778101202941
