Folder Name,respondentType,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
SLED,0,0.3517201713274646,0.1769357073731598,0.1790695231006024,0.6358910302321116,0.6098572810490926,0.4933645112345237,0.6390672490115618,0.6156391751394984,0.5492931573180566,0.5743410231759102
SLED,1,0.2820644941388692,0.1292589602598441,0.1462360721435436,0.6137064707375341,0.5954729188834468,0.2995434940013797,0.5709019072194882,0.6016195104521166,0.3276355869947588,0.4499251246669358
SLED,2,0.2866502266849904,0.1293881673166456,0.1476285229183342,0.6107839678103725,0.5941623842033247,0.3000781115558459,0.5727301261913602,0.5814079938144417,0.3325897774418271,0.4467015022508687
SLED,3,0.2802294397701441,0.129532557990217,0.1454328312156682,0.6148033816735823,0.619363648550851,0.3291384681684525,0.5962619775477498,0.5953112700399,0.3655515576818212,0.4715658183594809
SLED,4,0.2714635597499192,0.1272520244307021,0.1423427643370206,0.6093550384044647,0.5908087849617004,0.3844115973787328,0.6030708574469728,0.6318055532236984,0.5237899430827259,0.5357694877830325
top_k_500,0,0.5774799116337966,0.2748934363179901,0.261089088453284,0.6614641845226288,0.7086647848288218,0.5694162394866856,0.6637959139758588,0.7510409691544978,0.563796707258062,0.6370124574687761
top_k_500,1,0.5627512976931612,0.2770365839112532,0.2462609054376517,0.649072255338392,0.6999372133324223,0.7235331725182388,0.6058528816670721,0.7282606758553536,0.6992991058381512,0.6892364589697039
top_k_500,2,0.5706855565009442,0.2783763819155579,0.2504292552928229,0.647314928782483,0.6917617016782364,0.7210879676721853,0.6160454608988657,0.7351204056410175,0.6993544425918427,0.6929020692009779
top_k_500,3,0.5473425535194586,0.2729768570200553,0.2442875413170155,0.6469768790098337,0.6928616709761567,0.6797496144985953,0.6123830261703438,0.7278346561682746,0.6565865030189492,0.6691384499640407
top_k_500,4,0.550730456094151,0.2717472550949285,0.241651250508813,0.647391265630722,0.7077290952205658,0.7674756548775454,0.6258881196912467,0.747002053947201,0.75247375488941,0.7232098958513508
top_k_100,0,0.5797373173250057,0.2989707694643089,0.2790539757028056,0.682266374429067,0.6797789831956228,0.469123967756762,0.6166353466882336,0.7142719442234622,0.4285030202879684,0.5571335697391065
top_k_100,1,0.5611700812469699,0.2788545847516483,0.2502716023251008,0.6514732198369119,0.7018771491223766,0.7052952997801694,0.6078229505318703,0.7253771145242135,0.6860694447634336,0.6811412023999217
top_k_100,2,0.5648061156727178,0.278266015405652,0.249464622565906,0.6489683783923587,0.6913570364316305,0.6913678907322408,0.6144907385667809,0.730758085588251,0.6674206199813906,0.6760093337171659
top_k_100,3,0.5513699800264924,0.2765491124063811,0.2455968338493899,0.6458190784349547,0.7065641618036962,0.712724095452798,0.6090238782915486,0.7273609966510515,0.692690500320102,0.6854498676788751
top_k_100,4,0.5720692679901455,0.2812350169070367,0.2531656281207467,0.6363420426845551,0.7074416279792786,0.7546060294680383,0.6277540071459129,0.7661586835534956,0.7313132466465995,0.7199579917035115
top_k_1000,0,0.5771400035963813,0.2977601363305921,0.255528431520964,0.6695736249287924,0.6891777912775675,0.6897832143957198,0.6444077497040323,0.771187587436756,0.6391422474266649,0.6861301997407931
top_k_1000,1,0.5577801181288251,0.2750744174012761,0.2467794280375,0.6504430246929969,0.703144913479205,0.7015304231258791,0.6107588975538275,0.7294470852086777,0.6799989552536777,0.6804338402855156
top_k_1000,2,0.5624177504329672,0.2744353346507102,0.2472704207189372,0.6475420777375499,0.6910662520676851,0.7333995644303748,0.608171557476244,0.7289902490228798,0.6999984923659146,0.6926399658238532
top_k_1000,3,0.5559202923036165,0.2743225475457189,0.2447318826135065,0.6490021852346567,0.6855374040839436,0.6974851977055951,0.6079763915341349,0.7262850659545133,0.6781519559660961,0.6774746527900849
top_k_1000,4,0.5702612410297356,0.2808860398302019,0.2471137599606516,0.6496524214744568,0.7281797230243683,0.6646897841476158,0.603810129965142,0.7427202957363843,0.6469785208734433,0.6645496826806464
top_k_25,0,0.5540572886879901,0.2698370065866666,0.246596141674049,0.6528535385926565,0.6751731733481089,0.7218046045581978,0.6343278410705123,0.7389982692375546,0.6973705464399181,0.6981253153265458
top_k_25,1,0.5596940374705839,0.2782740852847973,0.249280771824299,0.6502100423939766,0.7016264248278833,0.7312445508531629,0.6131675564327154,0.7281927406767599,0.6917169893058843,0.6910804593171306
top_k_25,2,0.5595657568943125,0.2736795664233016,0.2470568768533252,0.6486753445739547,0.6959362622971336,0.7453890286055902,0.6204305535762175,0.7221655729701738,0.703689125752872,0.6979185702262134
top_k_25,3,0.5563249884201557,0.2767048688149383,0.2471533906564609,0.6464603019284678,0.6891358265509973,0.6883901340835186,0.6075249431999424,0.7371437403437547,0.6719408107651547,0.6762499070980926
top_k_25,4,0.5760721382437879,0.2825839068779093,0.2482552646555807,0.6381954908370971,0.7260955452919007,0.8194345732738405,0.632050542596224,0.7196667380758222,0.8097990528685614,0.7452377267036121
top_k_10,0,0.5472427601877096,0.282312328992115,0.2563592118171494,0.6709805627663931,0.7078450719515482,0.6058480176555018,0.6928944200919896,0.7494574433491307,0.613187311896867,0.6653467982483723
top_k_10,1,0.5614456934464451,0.2796861055851832,0.2511254393398204,0.6502367248458247,0.709220982246822,0.7111495527862024,0.619349551121801,0.7320827516564158,0.6848299115749832,0.6868529417848506
top_k_10,2,0.568749017069877,0.2782034337853487,0.2495292387798996,0.6492005273078879,0.6948710861615837,0.7611811116879602,0.6107514770866013,0.7350033357667308,0.7452737058809172,0.7130524076055523
top_k_10,3,0.5683500716525426,0.2827476493507275,0.2493690822836082,0.6496215089336856,0.692108289881067,0.7427236335874573,0.6046290666527542,0.7226337997028179,0.7275946365138773,0.6993952841142267
top_k_10,4,0.5418785287782555,0.2639741988635521,0.2332400971075246,0.6356476008892059,0.7313326716423034,0.756829616643204,0.6652902358600584,0.7475798692431623,0.6962745435165709,0.7164935663157489
top_k_75,0,0.5686167824408834,0.3136370511006333,0.2614038833074001,0.6698498725891113,0.7163443366686503,0.6744672981065051,0.6792307816995445,0.7745475969159293,0.6473525734210696,0.693899562535762
top_k_75,1,0.5579767657631346,0.2758939075385,0.2474947424431247,0.6488666705066158,0.7027596926256534,0.7448168577306258,0.6099368472048206,0.7284218205591151,0.7184556625421691,0.7004077970091827
top_k_75,2,0.5690397949384763,0.279684903674883,0.250119757772845,0.6474535362794995,0.6920481979226073,0.7112605591271878,0.6185972087482243,0.7279485820952928,0.686103888127522,0.6859775595245567
top_k_75,3,0.5583427111580209,0.2782117378162755,0.2481837110835902,0.6481146832088848,0.6868676801959237,0.6812219160685593,0.6008180843940724,0.7218046363547053,0.6546535092461955,0.664624536515883
top_k_75,4,0.5546500657845317,0.2653511231182915,0.2441037415331421,0.6356709897518158,0.732589167356491,0.7845688873368117,0.5988973062369471,0.7500599102462641,0.7852491236643173,0.729693806871085
top_k_250,0,0.5528319277456957,0.2856422891384884,0.2490855394182949,0.6690275569756826,0.6855053305625916,0.7349932016050902,0.6642232215020878,0.7024616704207375,0.650488909626394,0.6880417507885773
top_k_250,1,0.5579826484779083,0.2765721035932125,0.2462247899707072,0.6501619897542461,0.7034422734812382,0.7372940467218175,0.6124401043967562,0.7245341111398905,0.7037604882174151,0.6945071876189698
top_k_250,2,0.5668390207555952,0.2766803913368892,0.2487067846392972,0.6484435368329287,0.6932691968977451,0.7314876570422207,0.612446463600807,0.7228519747463302,0.7171147048382975,0.6959752000569139
top_k_250,3,0.5571985403449374,0.2775467295058851,0.2457536540645629,0.6462351869750809,0.6892314566360725,0.7242077625757671,0.6066551472057493,0.7294700998161161,0.6939967245059507,0.6885824335258958
top_k_250,4,0.51736396704491,0.2481679921871423,0.2262545591596201,0.6313852190971374,0.7162948608398437,0.7042469021061454,0.6646754288920096,0.7425476516528556,0.7130398289505393,0.7061274529003876
top_k_50,0,0.5570962173420537,0.2889984521541697,0.2513279254499557,0.6608989536762238,0.6929470400015513,0.5678830498507713,0.6529965660443088,0.7257856849623862,0.5247651354734187,0.6178576090827214
top_k_50,1,0.5561329525284704,0.2750259846753636,0.2457524186520449,0.6482548913167369,0.701114010426306,0.7323309594842107,0.6119135858566918,0.7309497077995145,0.7032681368782833,0.694615597504675
top_k_50,2,0.5676793284141013,0.2759995247952944,0.2490344166289909,0.6484113298356533,0.7001613297810158,0.7301437788979506,0.614938910397688,0.736236552036154,0.7050612166399168,0.6965951144929273
