voteDistribution,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0.5555555555555556,0.5366969063620791,0.26239753446547665,0.23599683497132437,0.6475295019805978,0.7151104233680515,0.7504947660704019,0.6126104134680066,0.7374368603244643,0.7206181678835069,0.705290051936595
0.5714285714285714,0.4770974900998566,0.23581037748788725,0.23131389046034018,0.6424765884876251,0.7052092850208282,0.7215448186888351,0.6221102640298983,0.7612692674310848,0.6036418181177049,0.6771415420668807
0.625,0.5239725935977899,0.2602636301805262,0.23626970246053486,0.649562445282936,0.719891357421875,0.6610547085933177,0.6489253370802058,0.7440423393583392,0.5888460857638129,0.6607171176989188
0.6666666666666666,0.5406846371071676,0.2658363226210402,0.23564456541457898,0.6407882972197099,0.717675565589558,0.7162139132581584,0.6259127453518617,0.7466374176549753,0.6948546224464259,0.6959046746778554
0.7142857142857143,0.5955124317768344,0.25986642380085,0.2243784111582777,0.6495764851570129,0.5643513202667236,0.8953696436727463,0.5951874568081906,0.8065007671938116,0.8884021209710482,0.7963649971614493
0.75,0.5526593941905628,0.2786249133121313,0.24650297777499047,0.650424973322795,0.7175627121558557,0.6698213401640949,0.6308489205507423,0.7284398522480792,0.6553383392617739,0.6711121130561726
0.7777777777777778,0.5500773477246029,0.2735714065920646,0.24794482258290912,0.647880072593689,0.694718462228775,0.6782431346979791,0.6010200036403993,0.7291352438621956,0.6474152957787277,0.6639534194948254
0.875,0.571011609130816,0.27439520020810376,0.24800551243326338,0.6364451845486959,0.6913529713948567,0.7159908662161907,0.6034011280984345,0.7536618731889235,0.6935457730785217,0.6916499101455177
0.8888888888888888,0.5744348589060645,0.28931124400811575,0.2579915685215954,0.6555018226305643,0.6893746148456227,0.7851894947890815,0.6268634756151247,0.7325823798766746,0.7558217741392604,0.7251142811050353
1.0,0.5684448342983786,0.28502805219819716,0.2558454323015582,0.6516062746108588,0.6842426815527981,0.7188823346718959,0.6226164807784682,0.7217725381445002,0.6927112477490921,0.688995650335989
