respondentType,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0,0.5797373173250057,0.29897076946430895,0.2790539757028056,0.682266374429067,0.6797789831956228,0.469123967756762,0.6166353466882336,0.7142719442234622,0.42850302028796844,0.5571335697391065
1,0.5611700812469699,0.2788545847516483,0.2502716023251008,0.6514732198369119,0.7018771491223766,0.7052952997801694,0.6078229505318703,0.7253771145242135,0.6860694447634336,0.6811412023999217
2,0.5648061156727178,0.27826601540565205,0.24946462256590604,0.6489683783923587,0.6913570364316305,0.6913678907322408,0.6144907385667809,0.730758085588251,0.6674206199813906,0.6760093337171659
3,0.5513699800264924,0.2765491124063811,0.24559683384938996,0.6458190784349547,0.7065641618036962,0.712724095452798,0.6090238782915486,0.7273609966510515,0.692690500320102,0.6854498676788751
4,0.5720692679901455,0.28123501690703673,0.2531656281207467,0.6363420426845551,0.7074416279792786,0.7546060294680383,0.6277540071459129,0.7661586835534956,0.7313132466465995,0.7199579917035115
