voteDistribution,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0.5555555555555556,0.5357189860286118,0.2597934634899613,0.23245669134036884,0.6449974359722312,0.7033319722074981,0.7473255854929185,0.5946176768775169,0.7340204524536744,0.7378873348121493,0.7034627624090648
0.5714285714285714,0.5122872869122161,0.22369478176359997,0.20218449592056592,0.6511389911174774,0.6931807696819305,0.8749086076287492,0.6112162446424068,0.8043720817417381,0.871119954694053,0.7904042221767368
0.625,0.5423850858902312,0.2649879829080638,0.23791913345622184,0.6439867854118347,0.7324010640382767,0.6899626641158164,0.6524944780352464,0.770651811038851,0.6565398233228412,0.6924121941281888
0.6666666666666666,0.5589508216470274,0.27032466391637805,0.24007978887653905,0.6451277754523538,0.7102287411689758,0.7125619946569236,0.6196038551133103,0.7371818255970145,0.6833168985374518,0.688166143476175
0.7142857142857143,0.6271293375394322,0.3158559696778269,0.2498422712933753,0.6586385369300842,0.6321687698364258,0.9066358028773096,0.6552057027537566,0.7938996113080973,0.8838477207055656,0.8098972094111823
0.75,0.5672690759939573,0.28318533005433727,0.2560595715491332,0.6520712306866279,0.7036431821493002,0.6790126798922246,0.5912253502182712,0.7008811513691111,0.6764235737880788,0.6618856888169214
0.7777777777777778,0.5487226767550853,0.27145201608790254,0.2453587915452228,0.6480443823337555,0.6880635631084442,0.6804077300989972,0.5941183367684995,0.7342909704520291,0.6698313693390112,0.6696621016646342
0.875,0.5466427052186167,0.2594118403465776,0.23334915348278246,0.6353669404983521,0.6973203182220459,0.7573653985699433,0.6219296912381846,0.7686845434208137,0.7178697707317189,0.7164623509901652
0.8888888888888888,0.5575987660596768,0.27239909696111436,0.2504981666651732,0.6517187844623219,0.7049392371466665,0.6917541141732937,0.6175190697075892,0.7142724835771406,0.6839130837567804,0.676864687803701
1.0,0.5695944483283154,0.2842706763940275,0.2577478725245277,0.6539426228757632,0.6904481495335951,0.6927828052425292,0.6248348312184274,0.7254518535382638,0.6638580893087729,0.6767318948269984
