voteRange,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
50% - 60%,0.5360286325242489,0.2601342917262016,0.23192344170042356,0.640529117316281,0.5015978223276795,0.8095835129614029,0.5895902077869899,0.7495713307042141,0.7850435785816654,0.7334471575085681
60% - 70%,0.55180635161247,0.2658282251564308,0.24302228279879584,0.6416963615200737,0.532053950835358,0.7308393133857849,0.6390594791496929,0.7431003228208046,0.6993656885444146,0.7030912009751742
70% - 80%,0.5716930724572742,0.2751871013476191,0.24961343546614512,0.6465482469094105,0.453961719473203,0.727119160991415,0.5834230271377278,0.7513020528417661,0.6947596435188307,0.689150971122435
80% - 90%,0.5830677360623016,0.2870555282598448,0.25878136871412627,0.648317650231448,0.5095601349165946,0.7140504534299474,0.6120094476377512,0.742057736431788,0.7044953231097035,0.6931532401522975
90% - 100%,0.5649606267560628,0.2847016501911892,0.2574566990650712,0.6524058474322497,0.5028060739702087,0.6914401461482749,0.6295863481138801,0.7237811347877708,0.6653021266376923,0.6775274389219046
