issueArea,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
1.0,0.5019003808698291,0.2113644534346518,0.19478636225880921,0.6055166751146317,0.650456789135933,0.23464938944129193,0.5560998860428334,0.7048413378650373,0.24618743214402491,0.43544451137329687
2.0,0.493732318221485,0.2116733838784923,0.19111246235686438,0.6036611537138621,0.6424860931105084,0.30876282393762866,0.5734732218851094,0.7259082515566091,0.3371694176757532,0.4863284287637751
3.0,0.47881760741563484,0.20652726618603767,0.18783399306451204,0.5867225468158722,0.6766059190034867,0.20207125585045324,0.525693556101952,0.7143418334959365,0.22709335103591985,0.4172999991210654
4.0,0.4862585667697997,0.20616051309148067,0.19369540177843741,0.5923636347055435,0.6567103907465934,0.16311667899802376,0.5114508169499475,0.6533204993180868,0.1713906307383182,0.37481965650109406
5.0,0.48241399099309323,0.20334908917960473,0.18587353853104688,0.5915693998336792,0.6505045413970947,0.2151060443072196,0.4803515996068102,0.6381533197525153,0.21512180003840467,0.3871831909262375
6.0,0.5119240051856875,0.20976463830616363,0.19234706715050023,0.6239016056060791,0.6240403585963779,0.06231471583609275,0.5222671003277707,0.6008653487326783,0.06396219065074621,0.31235233888682196
7.0,0.5034784237363522,0.2190271721955514,0.1918296581738196,0.5961956466947284,0.6798646364893232,0.20962166977844737,0.5431927776567483,0.7209755994111104,0.21150134085533182,0.4213228469254095
8.0,0.5006723638878815,0.21224009060031915,0.1964094913692549,0.608409451401752,0.6543581312981205,0.23677294379808292,0.5687744967835702,0.709653065096484,0.26224494919640123,0.4443613637186346
9.0,0.5110423371498263,0.22191072059435193,0.20288946367992533,0.6056572627276182,0.6516180774196982,0.22357076065331288,0.5519899576252416,0.6714920430022132,0.2194405494173426,0.4166233276745276
10.0,0.5012424384523918,0.22121273256466306,0.19413298733878026,0.6107241445117526,0.6105818903004682,0.18810442019973353,0.5609251401461665,0.677403998710065,0.19389920419381657,0.4050831908124454
12.0,0.5335990933656602,0.22432484128273905,0.19261150875365624,0.5835530161857605,0.6112058572471142,0.23420167204832848,0.5131781893257115,0.5755986533726929,0.22130464981844233,0.3860707911412938
13.0,0.47037342541949817,0.21067825176715327,0.19575609090003723,0.5918585161368052,0.5448255091905594,0.29963139416337076,0.545949274749917,0.7274782066398772,0.31587858384378587,0.4722343648492377
14.0,0.5725853094274147,0.3312101910828025,0.26951995373048,0.6219540238380432,0.7581685185432434,0.3395162397108066,0.6375315477480714,0.62801161802841,0.3270848703428333,0.4830360689575303
