voteDistribution,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0.5555555555555556,0.4854222120070243,0.2046940020286531,0.18611756103919153,0.6005803516151709,0.6416240285295959,0.22729978984919041,0.5358242709045069,0.7018930652863808,0.242124038539395,0.4267852911448683
0.5714285714285714,0.39465766363789934,0.19325550459153018,0.2109154586096221,0.5843254923820496,0.6791451573371887,0.08219687736440476,0.51195435258248,0.5207694739587384,0.0949367503797576,0.3024643635713452
0.625,0.4886629025711319,0.19838251970363632,0.18715944728309045,0.6027057111263275,0.6600948959589005,0.25596833267261443,0.5678519121566566,0.7120609090575645,0.28234154283425317,0.4545556741802722
0.6666666666666666,0.4929225971407261,0.20998935680823297,0.1930954650811065,0.5988783858039163,0.6872574486515739,0.2383771179113274,0.5594505370077806,0.6974531625192377,0.2455130811001017,0.4351984746346118
0.7142857142857143,0.5770750988142294,0.237467018469657,0.217391304347826,0.6291175484657288,0.5789662599563599,0.0405492595761864,0.5056273058421635,0.5853365998211756,0.0437773921999769,0.2938226393598756
0.75,0.4952583697578996,0.2003984916963878,0.1871798087803024,0.604865530362496,0.6484110756562307,0.285418456856222,0.5691433298491873,0.7600886734183135,0.29669674172391175,0.47783680046190863
0.7777777777777778,0.486239916959326,0.2057143261411845,0.19180590740945622,0.5940002000331879,0.6440660786628724,0.27092346308958026,0.5465360797617886,0.7122074330730697,0.28726782322043737,0.45423369978621897
0.875,0.49660908170220597,0.21132395661486095,0.19515120115805878,0.5966369032859802,0.6207254568735758,0.2556285056840694,0.5736606265707649,0.7031133454639336,0.28113282725843664,0.4533838262443011
0.8888888888888888,0.5100419461076127,0.2075968592197198,0.19212786338425736,0.606871923713973,0.6303639917662649,0.2831016560551349,0.5554057683384627,0.717921765652486,0.3007806622736874,0.4643024630799427
1.0,0.511096718233958,0.2233876422051047,0.2017321679719123,0.6091971412553625,0.6475096173205618,0.22026487727914626,0.5630375282474052,0.685554218951091,0.2362064047453551,0.4262657573057494
