issueArea,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
1.0,0.5590593315598305,0.27413520760899224,0.2498564255320878,0.6538655024308425,0.7021554598441491,0.6721296676247142,0.6166685544975419,0.7226381131437258,0.6593904707039102,0.667706701492473
2.0,0.5353126800532588,0.27030645936202635,0.24029626308998533,0.6452097415924072,0.698613703250885,0.6999097149072093,0.6162891550230601,0.7307605532845048,0.678213804941902,0.681293307039169
3.0,0.5479378280207567,0.2760669309526827,0.24606619106916675,0.6402467926343282,0.7214564363161723,0.6732041042617402,0.5844167987662521,0.7374640440040028,0.6518455964989711,0.6617326358827414
4.0,0.5641289369567233,0.2807995213612332,0.2488352143706524,0.6421716630458831,0.72710020840168,0.7213949259347068,0.6279436591319781,0.738346528348509,0.7195082154952684,0.7017983322276156
5.0,0.5505000427028258,0.2635251011747382,0.2417058932247937,0.6516735076904296,0.7065406024456025,0.7264933566990557,0.5881089858072898,0.7179911543017233,0.7059534474437739,0.6846367360629607
6.0,0.556852218677014,0.2697615385952877,0.2512030039420896,0.6537304586834378,0.7227649026446872,0.636680488155914,0.6695206380494864,0.7293416881922187,0.6277835957040134,0.6658316025254081
7.0,0.5567668170583097,0.27847715024176306,0.24055496796154135,0.6369959882327488,0.7151798435619899,0.6954510521557766,0.5967400609424285,0.7335640534670793,0.7061609359420344,0.6829790256268298
8.0,0.5657780255677518,0.2786271933697191,0.2540939991365612,0.6478290449881899,0.6961882822755454,0.7076103488535371,0.6151335580127144,0.7319838259952156,0.6695645194492316,0.6810730630776747
9.0,0.5732772465268496,0.28812804316457685,0.2552768016702838,0.6543771391734481,0.6930252434685826,0.7291418479810864,0.6146179294357187,0.7289320922613685,0.7131399835718928,0.6964579633125165
10.0,0.5674335037991775,0.27171231956931796,0.24256934097645927,0.6454808115959167,0.6789020653124209,0.7137692976450054,0.5903554705244708,0.7278232705212921,0.7159205271945924,0.6869671414713402
12.0,0.5882386363687067,0.2905468473136272,0.2576070838973766,0.6479941606521606,0.6499221548438072,0.7688117584529242,0.6210574389170489,0.6981514540506715,0.7008111206041137,0.6972079430061895
13.0,0.458264577239416,0.2411461407426636,0.21506540749514783,0.6382256547609965,0.72649285197258,0.8299271919370392,0.6425758803935762,0.7832023103395622,0.7829406043418885,0.7596614967530165
14.0,0.64340239912759,0.3558951965065501,0.3086150490730643,0.6906074285507202,0.7591626048088074,0.903742761173986,0.652999947655033,0.707199763687538,0.8835439122526683,0.7868715961923063
