voteDistribution,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0.5555555555555556,0.5410583290847367,0.2633678907110238,0.23494808414535565,0.6477157134528554,0.7123573066991403,0.7373151501888034,0.5918610771808896,0.7325543362111874,0.7182955169170113,0.695006520124473
0.5714285714285714,0.4077523361001654,0.19431676727598063,0.19100561175844066,0.6322220265865326,0.7106781303882599,0.4744217144042715,0.6792218624148023,0.7472348096936444,0.3797283284607809,0.5701516787433748
0.625,0.5531036483589739,0.2742282896982294,0.2396535779168732,0.6517194837331772,0.7242151290178299,0.7552984652206833,0.6305507073357264,0.7790646325286713,0.7344100205556641,0.7248309564101862
0.6666666666666666,0.5522331685809542,0.26822991935212376,0.24369505761895888,0.6403565721078353,0.7061793890866366,0.715961811128916,0.6140603782922163,0.7363756800251398,0.691812163861333,0.6895525083269012
0.7142857142857143,0.5885922330097088,0.2648845686512758,0.2196601941747572,0.631013035774231,0.6385179162025452,0.8221105497086731,0.6509095539049168,0.6611133694545512,0.8310356187533279,0.7412922729553673
0.75,0.5531579848408025,0.28000802067938574,0.2521207078332266,0.652486129448964,0.7298312141345098,0.6536943253070642,0.6015176840011449,0.730310313639279,0.6364448254811598,0.6554917871071619
0.7777777777777778,0.5597086767977726,0.27369581876094823,0.2448352023228375,0.6471349072456359,0.6796854782104492,0.6870905080620165,0.583317761502757,0.7173657409135061,0.6757694711063015,0.6658858703961453
0.875,0.5463164503187431,0.2648812593920686,0.23202645414372583,0.6273359020551046,0.6861767808596293,0.5625814199533121,0.6385560583327822,0.753096858689298,0.5547268870535585,0.6272403060072377
0.8888888888888888,0.5705784221163785,0.2854573098554402,0.25761650839204986,0.6558384263154232,0.7014996048175928,0.7023117040016459,0.6258897201404684,0.7135661638209995,0.6963994675440859,0.6845417638767998
1.0,0.567241357790154,0.2848429212058696,0.258213201989248,0.6513913622346975,0.6930779059559612,0.6938866239040498,0.6257684128314268,0.7251608608321716,0.667792675230522,0.6781521431995425
