Folder Name,decisionDirection,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
SLED,1.0,0.2881911282737702,0.1317171105426093,0.1493033586020747,0.6152169547463191,0.6051161299452527,0.3252915840629001,0.5806459555834281,0.5957881925856291,0.3561893651550511,0.4644787743467521
SLED,2.0,0.2800301687957089,0.1281068932376469,0.1446525430202634,0.6110136446199919,0.5934924882754945,0.2927413773723101,0.5738370837954399,0.5927041512412905,0.3283792957778559,0.4469154770467241
top_k_500,1.0,0.5674494043942535,0.2785163985570721,0.2491534601760991,0.6505485329464191,0.6946306342387017,0.7099304260926311,0.6114504463988368,0.7290546329566894,0.6923237818674227,0.685689821828895
top_k_500,2.0,0.5587458285115996,0.2750518206087975,0.2459302747167645,0.6460640834088911,0.6975057585197583,0.7187081187592322,0.6115815377255779,0.7331532341272367,0.6911238243627978,0.6886416787437111
top_k_100,1.0,0.5613018319134477,0.2784775011462054,0.250173058430717,0.6501804089728203,0.7025190475787825,0.7007518219433673,0.6174457819028006,0.732770034551625,0.6768921667348934,0.6819649512831716
top_k_100,2.0,0.5611426637310502,0.2785756164590352,0.2490333881268417,0.6492862274772242,0.6954263944374888,0.699219609839774,0.604736995629163,0.7240364806264729,0.6802218237562792,0.6770537274629223
top_k_1000,1.0,0.5610246184104043,0.2758862319059988,0.2479740843286778,0.6502965875254333,0.6985466750978514,0.7048949611026708,0.6126723413528068,0.7366791819391832,0.6796968113054168,0.6834858239250194
top_k_1000,2.0,0.5581734259194987,0.274339017726411,0.2455540994518728,0.6485382734683522,0.6941971853114011,0.7170755495298592,0.6068329530590686,0.722825714947102,0.6911415914433602,0.6844689522448475
top_k_25,1.0,0.5590619284004829,0.2762012818899512,0.2504370301895218,0.6511744306287692,0.7014367089016746,0.7074362564616672,0.6179480668046209,0.730036391761031,0.6663018521400588,0.6804306417918444
top_k_25,2.0,0.5595689839869695,0.2765569060322628,0.2459478522980629,0.6467263840792472,0.6942808866500855,0.7518726963950481,0.6129721722200582,0.7252238330673154,0.7210942730479634,0.7027907436825963
top_k_10,1.0,0.5654545088037037,0.2781108012314313,0.2499277128892135,0.6504613759408471,0.7070217024506503,0.7210893138443367,0.6207079424211094,0.7366867041981578,0.7003746415803679,0.694714650510993
top_k_10,2.0,0.5638995098766828,0.2806169670273046,0.2500729991397499,0.6490605094976593,0.6968583074578067,0.745184902584821,0.6107684396809002,0.7277104052756803,0.7238077008245098,0.7018678620914778
top_k_75,1.0,0.5614385843890178,0.2774254390472644,0.2490120622148381,0.6486442191455201,0.7003583852343886,0.7082544344152641,0.6142524278634998,0.7231132638684102,0.6801839725379735,0.6814510246712869
top_k_75,2.0,0.5624714298083955,0.2782046569256493,0.2482621324272845,0.6478578004920692,0.6940093944992936,0.7354302922002179,0.6099637526969998,0.7326005990163849,0.7123186878756719,0.6975783329473186
top_k_250,1.0,0.5610057972549316,0.2759167002374117,0.2479708526228836,0.651782008755298,0.7017205325701764,0.7176843930105871,0.6195497585092291,0.729468721211418,0.6976647580938449,0.6910919077062697
top_k_250,2.0,0.5593858538074248,0.2767530786222296,0.2455008018395303,0.6459995290689301,0.6937074850525773,0.7460230785804567,0.6069843585473274,0.7206079276453202,0.7144473384687368,0.6970156758104602
top_k_50,1.0,0.5604994132262825,0.2766629125765381,0.2470386496331482,0.6503019740108316,0.7076846797957675,0.7444839833322828,0.6218140310165807,0.7398856780216657,0.7135579958603202,0.7049354220577124
top_k_50,2.0,0.5628700139925609,0.276617818513903,0.2468163882427076,0.6472040320697584,0.6912934824040061,0.7281576892837944,0.6055173552019949,0.7262823131133646,0.7047855688684367,0.6911857316168977
top_k_1500,1.0,0.5515896584415676,0.2725794921126352,0.2481454298057651,0.6502170892617175,0.6980953582825552,0.6852262860376477,0.6175042679508399,0.7362567816355048,0.6610679253781212,0.6750138152505284
top_k_1500,2.0,0.5553605839249504,0.2747775647831261,0.2451225457250919,0.6470550777619345,0.6914836788386629,0.7359250118825703,0.6091864096516474,0.7278784192242638,0.7170712110616582,0.6975152629550349
top_k_2000,1.0,0.5602439614864171,0.2748573998518927,0.2478328545666114,0.6499829351447011,0.7012985002903538,0.727046321778394,0.616193978521688,0.7275978958067699,0.7012573800969898,0.6930238940509604
top_k_2000,2.0,0.5545999012798617,0.2741731834585642,0.2475200594232848,0.6493179842045432,0.6948020141375693,0.6876448894211342,0.6127091753386483,0.7332758492002371,0.6706170814473117,0.6760617488518328
liberal,1.0,0.5617425395088856,0.2742191410340342,0.2368862489010825,0.6439963763451758,0.6777744518436548,0.6624550242378396,0.6020861449875473,0.7072011430750909,0.6439224120496138,0.6539161810875228
liberal,2.0,0.5708621442049685,0.2780121728309986,0.2383782494113291,0.6407957965867561,0.6800445000330607,0.7038299680365953,0.5890396511000209,0.7051496705301528,0.6940881859885171,0.6730268689138215
mixed_conservative_75,1.0,0.569093864717559,0.2768721233046728,0.2409951480676007,0.644610432268099,0.6872167291532036,0.7442935798393159,0.6114723892036417,0.7162756912153925,0.7282519714349817,0.700073407923333
mixed_conservative_75,2.0,0.5643763337479701,0.2749967783147031,0.2372853811624655,0.6430217310001975,0.6864668869135673,0.7281792666065029,0.6061412347733848,0.714415934514143,0.7148345652260213,0.690892750280013
temperature_0.7,1.0,0.5685144903294528,0.2793890636207143,0.2518407260921396,0.6500135171049424,0.7049780656363218,0.7228877159088026,0.6191408824299899,0.7330718819250257,0.697136698928758,0.6930592947981441
