Model Name,voteDistribution,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
SLED,0.5555555555555556,0.2644517414757914,0.1189312791308374,0.135882110503785,0.6078173091652197,0.5968106613246673,0.295873464767501,0.5553721302878928,0.6156767951672376,0.3069166342905571,0.4434597561282971
SLED,0.5714285714285714,0.2109538703207618,0.0885987888897739,0.1067227060999764,0.5736614167690277,0.4971450716257095,0.3276600903979297,0.5394401765484201,0.6978485251106632,0.307598410007143,0.468136800516039
SLED,0.625,0.2687798429671431,0.1169899900077579,0.1343485979593755,0.6098109275102616,0.612224355340004,0.3125389212345461,0.5634402289122453,0.6243161416807202,0.3840260680646818,0.4710803399730484
SLED,0.6666666666666666,0.2722810376756545,0.1231447828561455,0.1395038560779888,0.6086108359423551,0.6003232256932692,0.3517058065382676,0.5766118314306709,0.5998173662100554,0.3518236595068669,0.4699896659214652
SLED,0.7142857142857143,0.3808647654093836,0.1677419354838709,0.1968721251149954,0.6478167176246643,0.6061349511146545,0.3186567888560004,0.4545463367195789,0.6210013293506024,0.3286968059227275,0.4307253152122273
SLED,0.75,0.2662406117450324,0.1188555259668937,0.1415952887017816,0.6116628165428455,0.5812833320636016,0.2715833889369056,0.5535132040930167,0.5397799577941833,0.3576584704833797,0.4306337553268713
SLED,0.7777777777777778,0.2665541547629407,0.1244914706352021,0.139034157455893,0.6139829850196838,0.5913585811853409,0.264997259753192,0.5574388840461721,0.5805526507977528,0.3151885524981403,0.4295443367738143
SLED,0.875,0.2853873173807726,0.129716243144099,0.1435978038482862,0.6022037188212077,0.586313792069753,0.331354611520155,0.5947476912687555,0.5592500060462254,0.3904341525784543,0.4689466153533975
SLED,0.8888888888888888,0.2948799392981596,0.1348635130051258,0.1530831388602569,0.6131226691332731,0.5828624358682921,0.3167558760453349,0.5974854049599385,0.596281406721571,0.3646578226093586,0.4687951275840508
SLED,1.0,0.3011601527755088,0.1393562667622677,0.1564551147019511,0.6175432361788669,0.6061875870672323,0.3140025888968881,0.5920332364618376,0.590201248212681,0.3497132003274268,0.4614875684747084
top_k_500,0.5555555555555556,0.5515347855272091,0.2673801262423569,0.2363950316777847,0.6478817386364718,0.7016907788197929,0.7747318093585979,0.5920005887389207,0.739753976907062,0.7502653423618678,0.714187929341612
top_k_500,0.5714285714285714,0.5269788290843088,0.2358682874592614,0.2077086982443268,0.6329822242259979,0.6916356682777405,0.877381449604028,0.6320205076121632,0.7710409164699352,0.8507429244613107,0.7827964495368593
top_k_500,0.625,0.548701905670665,0.2687602921873209,0.2465619074472144,0.6431508392095566,0.7259874016046524,0.7324506872395815,0.6451654133589202,0.7508219646192522,0.687836831006175,0.7040687240559822
top_k_500,0.6666666666666666,0.5490507721167509,0.265222327496732,0.2369673106424029,0.6448776765303178,0.7127305280078541,0.671290181367553,0.6174642730030723,0.7497748139049177,0.6543346002086455,0.6732159671210471
top_k_500,0.7142857142857143,0.5163934426229508,0.2627257799671593,0.2459016393442623,0.6509310603141785,0.7489848136901855,0.1165317596689507,0.6713352096749157,0.6940839943077375,0.2520053281301759,0.433489072945445
top_k_500,0.75,0.5613176354600313,0.2774625477076018,0.2538569491338857,0.6477982768645654,0.7212649835990026,0.7113612195660554,0.6064844049184146,0.7090214945385251,0.6596076716555035,0.6716186976696247
top_k_500,0.7777777777777778,0.553205589471795,0.2722853305250544,0.2448647787561146,0.6453404080867767,0.691342681646347,0.6695651209697511,0.5916888992649367,0.7173907354979988,0.6423288358113993,0.6552433978860215
top_k_500,0.875,0.5804549509602415,0.2829884286788832,0.248877807269381,0.6371251344680786,0.6793009638786316,0.6894269268622764,0.5889333264710637,0.74007921147093,0.6697029981278502,0.6720356157330301
top_k_500,0.8888888888888888,0.5893908091086362,0.2909236574298982,0.261100612948194,0.6534058126536283,0.709055118488543,0.683349721690637,0.6214909286623925,0.7297466983214236,0.6742147009108503,0.6772005123963258
top_k_500,1.0,0.5705236136163947,0.2832463365765706,0.2533157211263139,0.6503205125109625,0.6844810686879239,0.7122074466430051,0.6206662351459554,0.7260621073901257,0.6920368487753299,0.687743159488604
top_k_100,0.5555555555555556,0.5420178657192103,0.2615459669920211,0.2335912424292244,0.6510525925443806,0.7045699773578469,0.7597814766022142,0.5948152832204135,0.736509215017388,0.7412371551816119,0.708085782505407
top_k_100,0.5714285714285714,0.4639960392940436,0.1926768965740373,0.1870711520061416,0.6187757849693298,0.6989291906356812,0.5275726698290156,0.5918488459180857,0.722960305911717,0.4957182582937001,0.5845250199881296
top_k_100,0.625,0.5528571381984404,0.2730446304479739,0.2395813836964142,0.6490583211183548,0.7139878094196319,0.7081634671707742,0.6412336656868821,0.7436958498703706,0.6902970933256232,0.6958475190134126
top_k_100,0.6666666666666666,0.5473704918301767,0.2668568625996075,0.2382577403948297,0.642368681864305,0.722380496155132,0.7224094381743271,0.6110179386246014,0.7473035477796722,0.7098439149727941,0.6976437098878489
top_k_100,0.7142857142857143,0.497504159733777,0.2316666666666666,0.2479201331114808,0.6401706337928772,0.6838667988777161,0.1253399906929249,0.7520403765717886,0.696848601647307,0.1093113175003971,0.4208850716031044
top_k_100,0.75,0.5623911429816563,0.2805500575300252,0.2555829611656738,0.6517752225582416,0.7117713643954351,0.811637053634277,0.6002918569254392,0.7261072504521521,0.7734914606331043,0.7278819054112431
top_k_100,0.7777777777777778,0.5563956704770873,0.27566559954864,0.2455564547116387,0.6482171213626862,0.6994342577457427,0.7271932597386471,0.6017664891758132,0.7250829944622568,0.7058768800952028,0.68997990586798
top_k_100,0.875,0.5795339140347548,0.2815688762412091,0.257809342771953,0.640868604183197,0.6828123887379964,0.6896408364496132,0.6045570971952956,0.7518553829116236,0.6630205215530084,0.6772684595273851
top_k_100,0.8888888888888888,0.5668638376034117,0.288463231618511,0.2657623982559018,0.6538464192188147,0.6962724617033293,0.6306229952167336,0.6272664180519416,0.7192446590576326,0.6358660475861858,0.6532500299781233
top_k_100,1.0,0.574056386082699,0.2892847619364672,0.2583909604132673,0.6512414004843113,0.6892755561966007,0.6625623460177207,0.6163369226390928,0.719459396304958,0.6361546743276351,0.6586283348223516
top_k_1000,0.5555555555555556,0.5456737943457765,0.2651049692212836,0.2393439166056757,0.6489927385925153,0.70552950277241,0.7136146879231107,0.5929954343097157,0.736815206589909,0.6847007411019986,0.6820315174811835
top_k_1000,0.5714285714285714,0.4298447363377318,0.2249273651795789,0.2080496233208205,0.6505656540393829,0.7125521302223206,0.2855912131386741,0.6246592058310032,0.8033050720313817,0.2108352588851474,0.4810976874715516
top_k_1000,0.625,0.5427169491033814,0.267115669819769,0.2454689579871196,0.6440812826156617,0.714666536450386,0.6960279928946561,0.6379259921614657,0.7390484104455903,0.6494128531712628,0.6806038121682437
top_k_1000,0.6666666666666666,0.5547264457659669,0.269047770222341,0.2379108567644561,0.6411903229626742,0.7061707870526748,0.7481459380760427,0.6024735445399749,0.7428475907953528,0.7188543292159214,0.703080350656823
top_k_1000,0.7142857142857143,0.6095592799503414,0.2846488502175264,0.2346368715083799,0.6446020603179932,0.6957330107688904,0.8332292877611442,0.543652091556064,0.6142509844293234,0.8292023868862817,0.7050836876582034
top_k_1000,0.75,0.557204311245036,0.2675369118399953,0.2405789719562384,0.6481152062232678,0.7081131820495312,0.721718807118974,0.6024908266035407,0.7187130746384245,0.6732616887126954,0.6790460992684086
top_k_1000,0.7777777777777778,0.5564736824348272,0.2755379972699069,0.2445168600288423,0.6487400925159454,0.6899339509010315,0.7371108052726357,0.5928180526132187,0.7188706817660774,0.7180349750547496,0.6917086286766704
top_k_1000,0.875,0.5702598490087053,0.2757598159790976,0.2518086957500984,0.6412209590276082,0.6863386193911235,0.7511842067907246,0.6332495897086088,0.7381364514874069,0.7215066560315908,0.7110192260045828
top_k_1000,0.8888888888888888,0.5837069566818316,0.2846511740532315,0.2565669007694593,0.6536750070976488,0.712576586188692,0.7360229041722853,0.6262698178833049,0.7296046803264808,0.7184186877996831,0.7025790225454385
top_k_1000,1.0,0.56622316548868,0.2815050053911007,0.2520919266694629,0.6521207159858639,0.6864042486679756,0.693285017317395,0.6172550655179395,0.7248512492650587,0.672501907081231,0.676973309795406
top_k_25,0.5555555555555556,0.5373561163544722,0.2596528539070875,0.2339411309651543,0.6467146873474121,0.7100614965508837,0.7480743120665694,0.6014456000035716,0.7492192534977364,0.7286921479751794,0.7068578283857642
top_k_25,0.5714285714285714,0.4209020754063475,0.1982936066879396,0.2084657659549453,0.6390568017959595,0.637292742729187,0.6833162660370654,0.714445922992406,0.8288358713574997,0.5553819137094712,0.6954949935241106
top_k_25,0.625,0.5230176842484509,0.261905484233103,0.2341446231120215,0.6464826494455338,0.7206940799951553,0.7531713090418657,0.6614374212367529,0.7389746861697345,0.6712374859141249,0.7062052255906195
top_k_25,0.6666666666666666,0.5646195222309086,0.2731089000514001,0.2419837609436013,0.6433723774823276,0.7042291597886519,0.7204428459187888,0.614998352788746,0.7319313035506615,0.7037123864692529,0.6927712221818624
top_k_25,0.7142857142857143,0.5974499089253188,0.2735562310030395,0.2452944748026715,0.6493300795555115,0.6608174443244934,0.8665008821326085,0.5717053908435604,0.7277149625877398,0.8418835475064829,0.751951195767598
top_k_25,0.75,0.5593978291570418,0.2745158066280167,0.2517521853826366,0.6491886537808639,0.707230975994697,0.7000759434109514,0.6060914287665734,0.7195565044961126,0.6525473077012609,0.6695677960937245
top_k_25,0.7777777777777778,0.5459498150623269,0.2705370105911454,0.2421212288600894,0.648577606678009,0.7005788397789001,0.7790546642475005,0.5974350421885005,0.7246971181086153,0.7322350175591746,0.7083554605259478
top_k_25,0.875,0.5817054441415831,0.275571496856081,0.2396367130850667,0.6328158855438233,0.6874490141868591,0.7972845973608992,0.5864366330962534,0.7299189345189071,0.7292101277283733,0.7107125731761083
top_k_25,0.8888888888888888,0.5636506059701913,0.2817923888908743,0.2537176372561584,0.6533188585079077,0.6997412226416848,0.69777604963387,0.6328605846530975,0.7179734272653581,0.684785501315047,0.6833488907168431
top_k_25,1.0,0.5731271252408001,0.2875214727902365,0.2582075433468963,0.6518249829946938,0.687914135850082,0.7162305728403434,0.6215108435289894,0.7173181956375756,0.6756774417946605,0.6826842634503922
top_k_10,0.5555555555555556,0.5426687001305573,0.2619101761680521,0.2357730696819457,0.6463548437171026,0.7093321495099899,0.739944763496438,0.6028766452605523,0.7390524045776014,0.7116703499564337,0.6983860408227563
top_k_10,0.5714285714285714,0.3169322828755511,0.1525333627217038,0.1722308201933135,0.6311498582363129,0.707625538110733,0.6285902237663556,0.6736183286929477,0.8637637396948972,0.4997474685095062,0.6664299401659267
top_k_10,0.625,0.5552662260988631,0.2842843306217096,0.2529638308268397,0.6423364996910095,0.7307864934206009,0.7188690145289859,0.6164297411804375,0.7471155446694333,0.6801153860125831,0.6906324215978599
