Model Name,issueArea,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
SLED,1.0,0.2962739603319506,0.1334450940264034,0.1493812519847881,0.6138290506142836,0.6076580478594853,0.3102446569258303,0.5696098654724844,0.5974286889950786,0.34962637292755,0.4567273960802359
SLED,2.0,0.2718900236459706,0.1236226880009349,0.1399270544575391,0.6119751890500387,0.5866418500741323,0.2894008204762921,0.5672891822209246,0.5966438018092035,0.2874802548705613,0.4352035148442453
SLED,3.0,0.266497915066227,0.1200999250182689,0.1379349362603932,0.6020661612351735,0.5785995751619339,0.2619565962998461,0.525537710299875,0.5822400125861215,0.2589707661853153,0.4071762713427894
SLED,4.0,0.2729891638012175,0.1176469780199693,0.1386865825365664,0.6020506829023361,0.5903035506606102,0.2444065941389725,0.5681727086204361,0.5782857618167745,0.2520612348164422,0.4107315748481563
SLED,5.0,0.2552884056772083,0.1140124026208985,0.1316595011073645,0.6003312289714813,0.6064331978559494,0.3803080611254796,0.5871030784049965,0.5214166886210387,0.451053140752283,0.4849702422259495
SLED,6.0,0.3235773720552076,0.1493793740071271,0.1715897172862621,0.6292182207107544,0.6388242443402609,0.4203389884778716,0.6620788672889547,0.6210735749316605,0.5162968409121474,0.5549470679026586
SLED,7.0,0.2625361290963948,0.1164838289295208,0.1329007948414853,0.611183762550354,0.6145242580345699,0.3433072216375625,0.5788952459082282,0.5809467690826111,0.4504527644014541,0.488400500257464
SLED,8.0,0.2883185098403987,0.1342857021025335,0.1512100847336929,0.6165847277295762,0.6006024300620176,0.3036596065531449,0.5904030879913301,0.5835583276645699,0.3552791768505596,0.4582250497649011
SLED,9.0,0.2864291014367373,0.1318060794362089,0.1500339207873063,0.6126295011490583,0.5988774592988193,0.3186938189771231,0.5881199766122065,0.6034777035822566,0.3681897248970108,0.4696203060171492
SLED,10.0,0.273276629834312,0.1272909701829037,0.1449746187033889,0.6132142610020108,0.6035804925141511,0.3735961681803073,0.5911858813101308,0.6284062363817837,0.3777404475914934,0.4927321833659288
SLED,12.0,0.3238771833575503,0.1588253627068216,0.1722947033502732,0.6214318200945854,0.5488595217466354,0.2242081311318334,0.5436500161189548,0.6336503346298862,0.2290497459045423,0.4076395569463042
SLED,13.0,0.2342607889358416,0.1134899431101159,0.129399798419378,0.6133698225021362,0.6195154984792074,0.4188407213888641,0.5620569378242454,0.603800632970218,0.3524237912538081,0.4842805208592839
SLED,14.0,0.2391817466561762,0.119779353821907,0.1589299763965381,0.6189007759094238,0.6953892111778259,0.4453099129816337,0.7047756222262206,0.8709212831994272,0.5725705906240613,0.6483943522578357
top_k_500,1.0,0.5748165688698195,0.2787692222782575,0.2458697970840198,0.6502063613671523,0.7019777467617622,0.7443680703082318,0.6134041146577118,0.7291293171785471,0.7197604919802862,0.7016654985311943
top_k_500,2.0,0.5476243940643983,0.2697630081136584,0.2393441422403689,0.646004875500997,0.6940697643491957,0.694121890245362,0.6054570658867228,0.7360328957409662,0.6760465657869965,0.6779146044150118
top_k_500,3.0,0.5482545780786369,0.2723036366802263,0.2460387404727709,0.6439461509386698,0.7124909301598866,0.8055365684318135,0.592614532038379,0.7378063994970936,0.7506713924123328,0.7216572230949047
top_k_500,4.0,0.5590102450573504,0.2794465027645534,0.2460963028034858,0.6399088859558105,0.7172845393419266,0.7198993699201873,0.6140960219393533,0.7251946321067894,0.7228368958552149,0.6955067299553862
top_k_500,5.0,0.5680507022549759,0.2714627662200141,0.2318698999939472,0.6516057252883911,0.7133180499076843,0.7949548251619548,0.5832866323218951,0.7640726558316564,0.7835381650397555,0.7314630695888155
top_k_500,6.0,0.5328896306512756,0.2619982509802415,0.2366383968924015,0.6553582814004686,0.687636759546068,0.8038013872569919,0.627199094745967,0.7404055782013893,0.8005631486699375,0.7429923022185714
