Model Name,partyWinning,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
SLED,0.0,0.2866607293996493,0.1297552004003478,0.1493017338321643,0.6149074221029878,0.608263505777965,0.3240029560840095,0.5852078320305262,0.5967279729623604,0.3527972511794959,0.4646840030640979
SLED,1.0,0.2824670807599216,0.1298798565014824,0.1455704839964594,0.612009875539323,0.5940822312529658,0.2998566760773477,0.5727124098442185,0.5928039964857167,0.3356975795516876,0.4502676654897427
top_k_500,0.0,0.5620777308803203,0.2737978360519964,0.2469300536218558,0.6512764245271683,0.6993611243863901,0.6896929445057235,0.6111869279807103,0.7350611204578913,0.6734439523746859,0.6773462363297528
top_k_500,1.0,0.563367269712898,0.2782869880943011,0.247768350887379,0.6465546644909281,0.6943803703281242,0.7279226482747932,0.6116982113689821,0.7290964800929575,0.7015714984133027,0.6925722095375089
top_k_100,0.0,0.5618094703181914,0.2749686335379972,0.2491557623436685,0.6521407651404539,0.7006072957689563,0.7164068070662263,0.6136302823244206,0.7293789069793921,0.6988289311592587,0.6895612318823244
top_k_100,1.0,0.5608994952776898,0.2804540235262969,0.2498083114225729,0.648402295985692,0.69785890730334,0.6910548146388236,0.6093065476241027,0.7275926644817668,0.6677008807676168,0.6739137268780775
top_k_1000,0.0,0.5563470561044656,0.2712100626224562,0.2468546966180761,0.6521591814234853,0.693879859832426,0.7190661234845113,0.6144992109136113,0.7297490254155136,0.6872687602298709,0.6876457800108767
top_k_1000,1.0,0.5612654694042977,0.2771731853179923,0.2466366948935964,0.647877608554464,0.6975788552156637,0.7070093400447421,0.606996328340441,0.7293055254879197,0.6847896229837794,0.6820252042142206
top_k_25,0.0,0.5580204574689228,0.2708574685564469,0.2479269556650201,0.6511735087260604,0.6949226080129544,0.740549333693561,0.6178523628784452,0.731295052384065,0.7163258525311259,0.7015056503717992
top_k_25,1.0,0.5600322756145905,0.2793769580606318,0.2481906037377994,0.6476039622870969,0.6992150132085236,0.7252015368912162,0.6140050955291994,0.725492047909393,0.6832348996996866,0.6869833950073738
